"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"East San Jose","San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",21,285000,279950,285250,290000,289000,290000,295500,295000,291500,290000,289925,295000,293750,289000,285500,289000,286250,290000,295000,297000,289000,294975,294925,295000,289000,294900,299888,3e+05,305000,322444,324888,325000,3e+05,329000,344500,349975,359500,360000,386000,399494,420000,420000,425000,425000,429500,449999,450000,449999.5,459919,472497.5,467000,469888,475000,477000,475000,475000,478950,477000,479400,479400,489000,499694,524950,525000,519950,529000,527000,539000,548000,545000,549694,548000,539975,549000,528000,539000,549900,557900,596944,599000,599000,589940,588400,598944,612500,620000,619500,615000,615000,615000,639888,629999,639000,629900,643500,646000,679000,694888,699400,725000,756500,748444,750000,750000,750000,749000,736500,738888,738444,749888,755000,750000,749400,747000,729950,728888,743444
"South Side","Corpus Christi","TX","Corpus Christi","Nueces County",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93800,89500,91450,94999,85250,82500,85000,85000,95000,93950,96450,91450,90450,87264,87750,89000,96900,94777.5,95500,98500,90999,89900,89700,89900,92999
"Alief","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",23,74900,73893,71900,75950,75000,75000,75900,76900,75000,75000,72250,70000,69900,69900,68250,67000,69900,67000,68000,67900,66000,65000,65000,68000,67750,65000,65750,64500,62200,62500,65000,69900,67950,64900,63000,64900,65000,65000,65450,65900,67500,69900,69900,74700,77900,75500,79000,76250,75000,74500,74700,72000,75000,75000,79900,79900,78500,79975,79950,84900,79900,79900,82000,79900,85000,85900,90000,89900,90000,89500,85900,85000,85250,90000,92950,89900,86000,86400,92500,92008,92258,90000,95250,95500,1e+05,98000,102000,102000,1e+05,98000,97500,95393.5,98900,96000,105000,109950,105000,111000,111950,119900,123500,124900,120000,120000,115000,114995,118000,118000,117948.5,115000,123000,115000,114500,116000,115000,116000,115000
"East Memphis-Colonial-Yorkshire","Memphis","TN","Memphis","Shelby County",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43000,42000,42000,43000,42500,44000,45000,44000,44000,44450,45000,45000,44900,42950,41900,40000,39900,42000,42900,39997,43400,50000,50000,49000,45000,44950,45000,46000,48000,45000,45000,44999.5,45000
"Concourse","New York","NY","New York-Newark-Jersey City","Bronx County",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215000,249000,249500,250000,250000,250000,255000,249500,250000,255000,246500,248000,250000,250000,249500,250000,269500,272500,270000,254500,249000
"Bullard","Fresno","CA","Fresno","Fresno County",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142000,143450,150000,150000,149450,154950,155000,162498.5,165000,168999,166999.5,159950,156500,159925,169000,167000,169900,173950,174900,175000
"Southwest Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",27,82500,84500,82000,82000,79900,79694,79469,79900,79900,80500,78400,79949.5,79888,77000,79900,80000,80000,80000,79900,80000,79900,79000,73900,75000,73450,73000,70000,73900,74500,79000,76500,79000,77900,77900,77500,79000,79900,79000,78000,79900,79500,79900,79250,79900,83050,84250,84950,86000,84500,84950,84900,81950,85000,86000,87700,89450,85000,82000,80000,86000,90000,84950,84900,84900,92000,84900,85000,95000,95000,95000,89950,93170,89949.5,100375,105000,111800,109000,106999,112750,112097,110000,114450,115652.5,123792,121500,125000,124750,125000,129000,129000,129499.5,128999,129900,139945,139900,142450,145000,150000,145000,139997.5,139997.5,145500,150835,151450,150450,150450,159950,155000,155000,155000,165000,167900,162368,165000,165000,159000,160000
"Central City","Corpus Christi","TX","Corpus Christi","Nueces County",28,64900,60662.5,64250,61900,58950,57000,55900,57250,56900,57900,58000,56950,54000,54500,56850,56800,57500,59250,62500,59700,54000,53000,54250,55000,54540.5,55000,55000,50000,50000,52000,54000,58818.5,65500,60000,64950,65999.5,58000,58000,55950,57850,58500,57500,59000,59000,59900,59000,58500,59000,59000,59000,60000,65000,68900,65000,64900,59900,62900,62900,61650,61500,62150,63950,65000,68000,65000,66950,67900,68000,68000,68500,72000,70000,75000,74500,69900,67900,65000,66500,68000,71000,69900,68500,69450,72500,72750,70000,74450,72000,73747.5,75000,72500,71000,69250,69500,69400,68500,68000,67500,69900,68136,79000,75000,69900,69900,69000,67900,68000,67750,68500,68900,70000,72000,75000,74900,76750,72450,75000
"Elmhurst","New York","NY","New York-Newark-Jersey City","Queens County",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265888,275000,290000,279000,279500,294000,289000,290000,299000,299000,305000,310000,310000,310000,310000,310000,309000,308000,309450,309000
"East","Arlington","TX","Dallas-Fort Worth-Arlington","Tarrant County",30,80000,79900,79900,79900,79000,77450,77000,79900,79500,77500,79900,76910.5,75000,75950,75000,74950,75000,74900,72500,72500,71500,74900,74900,70000,71700,70750,73450,74900,75240,73950,75000,74900,74900,72000,74900,69900,70000,74921,77500,75000,75000,75000,75000,76000,79900,79900,79500,79900,83850,83850,79900,84900,86450,84900,89450,89900,85000,85000,79500,79900,81760,85900,87500,88218,85000,87900,90000,99000,99900,103860,99000,99990,100700,110000,109900,109950,110000,105000,106250,112500,111900,110000,113950,117985.5,120375,120000,119900,125000,131500,135000,135000,139000,140000,139900,140000,145000,141620,141664.5,139900,139450,149500,149900,155000,155000,159000,159000,153900,150000,159900,164950,164000,165000,165000,165000,165000,165450,169000
