"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"Berthoud","CO","Fort Collins","Larimer County",1816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3e+05,303500,303500,310356,301750,309900,319500,315329.5,307699.5,303399,299999,299340
"Cedar Lake","IN","Chicago-Naperville-Elgin","Lake County",1817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109900,97950,96000,95450,104900,102000,100950,1e+05,112500,107450,114450,117400,112400,125923.5,125481,125979,120684,122691,124900,125000,125000,124950,125500,125200,125750,131349,130843.5,125951,131333.5,134900,132583.5,129519,134900,138184,136100,139900,139900,139900,140626,144000,144000,141840,142750,144000,149615
"Sweet Home","OR","Albany","Linn County",1818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155000,152400,159900,169950,169900,168000,162500,166250,170000,170000,175950,181250,187505,187110,189900,187900,182500,170000,169000,185200
"Mastic Beach","NY","New York-Newark-Jersey City","Suffolk County",1819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169999.5,179000,179000,182450,189999,195999,194000,191750,215000,215000,217000,215000,209000,219450,219999,219999,225000,229400,231999.5
"Coatesville","PA","Philadelphia-Camden-Wilmington","Chester County",1820,99000,89900,87900,89900,99900,93849.5,94800,94699,94800,94800,93900,89900,90550,84900,89325,84000,77450,80000,75950,75000,69900,69900,70900,70400,65000,65950,65000,65000,68000,69900,72900,69900,74900,69900,74900,74500,69900,64900,74700,75000,75000,74900,64900,69900,69925,69999,69999.5,69999,72000,70000,71000,69900,69000,69000,67950,63950,68900,68900,65878.5,62950,59900,59900,59900,62900,69500,64900,69500,69000,73000,74200,75000,72750,77000,71000,83750,89900,77450,81200,72000,72000,74900,81250,73000,70000,69900,74000,81250,81250,87200,89900,89900,89900,89900,89900,79900,76750,87000,94250,91000,86000,88700,90500,89450,79950,75000,73900,75000,84900,85308,97400,94900,110975,105000,103900,94435,86133,79900
"Marco Island","FL","Naples-Immokalee-Marco Island","Collier County",1821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175000,177450,177450,168000,164949.5,170000,174900,175000,179900,189000,189000,189000,195000,192400,194950,195000,189950,189000,189000,189900,189900,189000,189450,189000,195000,189500,196950,199000,198900,199000,195000,194900,194900,195000,195000,194950,196500,196500,205000,199999,2e+05,199000,198500,199000,199000,195500,199900,189000,185950
"Cahokia","IL","St. Louis","Saint Clair County",1822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37000,30783.5,35000,32000,32000,30000,29900,29700,32000,32250,29500,29700,29900,29947.5,30000,30000,33540
"Thurmont","MD","Washington-Arlington-Alexandria","Frederick County",1823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187400,199150,199150,189900,187880,184950,174900,189900,182500,189900,189999,189995,184700,174450,172000,189000,184900,179900,187000,189940,189900,189850,191450,204900,209900,210950,212500,211250,211250,205900,199900,199000,199900,202449.5,215000,215000,209900,201000,199999.5,193750,191250,198450,219900,219950,244900,234900,230000,229950,249900,227450,238900,239993.5,226900,199995,225000,239900,225000,229900,231950,249995,247400,244700,244750,239900,247400,239950,240000,250000,246560,248230,246560,250000,247000,249000,249900
"Claremont","NH","Claremont-Lebanon","Sullivan County",1824,,121950,116950,117000,112450,112000,107900,107900,109950,109900,110000,110450,109900,105700,102250,102250,99000,109950,110000,107950,105000,99900,94900,94900,88000,84900,84900,89900,89900,84900,89000,91500,89900,89900,89830,89830,87618,88900,90400,89900,95000,95000,99000,99500,99900,99900,99900,99900,99900,99900,99450,102450,108500,108500,111250,114900,109900,109000,107000,104900,104900,99900,103050,99900,99949.5,107000,109000,109000,107000,106450,99900,99900,102900,107500,107500,104000,109000,109900,109900,109000,109450,109900,109900,99900,99900,97900,94950,99000,99800,108000,108000,109000,110900,110450,109900,110000,110000,110000,113000,119500,114900,119900,119900,115000,117900,121250,119950,119900,118900,115000,114900,119900,118950,122200,120849,129450,132900
"Kettering","MD","Washington-Arlington-Alexandria","Prince Georges County",1825,209000,189000,189450,186900,192925,189975,189900,179900,180000,179900,174900,174950,175000,169900,168950,164950,165000,168900,169900,165000,165000,160000,159900,150000,145500,155000,146950,139900,130300,144900,146500,139900,145000,150000,158750,150000,147900,160000,162500,162500,151950,145000,159900,182450,172500,165000,176000,172000,163500,169950,170000,174000,180000,185000,190000,190000,2e+05,207950,203000,185000,165000,169750,169000,184900,191450,189447.5,189900,190000,199000,189950,184000,181500,165000,179000,190000,196897.5,197795,199900,209500,214900,190000,207500,195000,198000,194900,220000,230000,205000,198900,198000,208450,2e+05,210000,222450,226000,225000,239999,227733.5,228450,215000,218950,239900,228500,225900,225900,224950,228450,220000,229450,232500,239900,240000,240000,235000,242500,250000,253000
"East Hampton","CT","Hartford-West Hartford-East Hartford","Middlesex County",1826,160000,157450,157500,165900,168900,164900,164850,158000,158000,158000,155000,159000,155000,149950,149900,149900,144450,144900,143000,143000,143000,141000,141000,149450,134500,149900,139000,133400,129900,119900,124900,119900,121700,128900,119900,120900,120900,120900,119900,119900,119900,129900,124900,130000,134900,130000,129950,130000,133950,130000,134950,126250,135000,128500,129900,128500,136000,139900,134900,137400,136350,136850,133000,122450,134900,134900,139000,139900,154900,149900,139900,135000,139900,137000,139900,139900,139900,144900,144900,138700,134900,134900,134900,134900,135950,144900,144900,149000,149000,145500,139900,137000,137000,135000,134950,139650,135000,135000,134700,139900,139900,139999,142150,149950,151090,149450,139900,149000,133500,150000,149000,149000,145150,145150,145000,149900,133200
"Keokuk","IA","Fort Madison-Keokuk","Lee County",1827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40700,43500,40700,43000,40950,39000,39900,39900,39450,39900,39900,39900,39900,39900,39000,39450,39700,39000
"Fruitland Park","FL","Orlando-Kissimmee-Sanford","Lake County",1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149900,154950,154900,144900,155450,154900,154900,153950,149950,149800,152400,139900,139900,145000,149900,139700,131500
"Crowley","TX","Dallas-Fort Worth-Arlington","Tarrant County",1829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156000,159450,160000,164900,165000,165000,170000,169900,169900,168773.5,179900,178950,179900,178000,179500,185000,182250
"Ishpeming","MI","Marquette","Marquette County",1830,,,,,,,,,,,,,,,,,,,,,,,,,,,,49900,44950,49950,44450,47200,49900,49900,49900,49900,50900,52500,52500,54400,53900,54900,54450,54900,54900,52000,49950,49900,49900,49900,49900,50950,50000,49950,51900,54900,54450,53700,54900,54900,53900,49900,49900,49900,49900,49900,56900,55450,59200,54900,59200,59900,59900,61000,59900,59000,59250,59900,59950,59900,59900,59900,59000,59900,59900,64700,60000,59700,59900,56450,59900,64950,64900,67500,65000,64900,69900,67400,63900,59700,64950,65000,64950,65000,69450,67950,68900,66500,64900,67064,64200,67064,64900,67217,65900,65900,64950
