"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"Lake County","IN","Chicago-Naperville-Elgin","18","089",129,89900,89900,89900,95000,94900,94900,93900,93900,89900,89788.5,88950,82000,80800,80750,83150,79900,82000,79900,79900,79699.5,79000,74900,74900,73750,70396,69900,69900,69999,69900,69900,69900,69900,69900,70000,74839.5,70000,69994,69900,69900,69900,69500,69898,71900,72900,73700,74900,74500,71500,70000,72000,74000,74999.5,79900,79900,79900,79900,79900,82900,80500,79900,79900,79900,80000,82900,84900,84900,80000,79900,79900,81700,84000,82500,84799,84000,79900,79900,82900,79900,79900,79000,79000,88758,87950,84900,85900,88000,89950,94500,94900,95000,95000,99000,99900,99900,101995,99000,99900,105900,109100,109100,111015,114514,110000,112900,109500,109900,107200,104997.5,109000,105700,110000,109900,109900,110000,112900,114900,119000
"Plymouth County","MA","Boston-Cambridge-Newton","25","023",130,194900,195000,198250,195000,199850,199900,199000,199000,199000,195990,194999,189900,189000,179900,179900,179900,180000,184900,184800,180000,179900,179900,172500,165000,169900,169000,169900,169900,169900,174850,179900,179900,179900,179900,179900,179900,179900,183000,187000,190000,199000,199500,199900,199900,202000,2e+05,199900,2e+05,2e+05,209900,214900,214900,214900,218000,219900,218000,218900,214950,214900,209900,205000,209900,214900,219849.5,220000,224900,229900,229000,227900,224900,219900,219900,219000,219000,224700,229900,230950,239000,239900,238000,239900,244450,244950,245450,243500,249650,250000,254900,260000,265000,265000,272500,274900,279250,279900,277350,279900,279900,279000,279900,289900,289900,289900,289900,295000,289900,289900,289000,285000,289900,299000,299900,299900,299900,3e+05,309000,308500
"Volusia County","FL","Deltona-Daytona Beach-Ormond Beach","12","127",131,71280,69900,69900,69900,67900,67455,67250,66500,64900,64900,62500,61700,59900,54900,57997.5,55000,56000,55000,55000,55000,54900,54000,52000,51000,49900,50000,50000,54000,54900,56000,56000,57500,57500,58000,57500,58000,58500,59900,59900,59900,60000,60000,63600,64900,64900,64900,64900,64900,65000,66500,65000,64900,65900,67750,69000,68300,69000,69000,68500,68900,68000,68900,69000,69900,69900,69900,69900,69900,69900,69900,73000,75000,75900,77500,79000,79500,79900,81850,85000,88000,89250,89000,89900,89900,90450,95000,99900,99500,1e+05,1e+05,105000,105000,110000,111500,110500,115995,119000,119000,124000,123950,123478,124900,128000,129000,127500,129500,129900,129500,130000,134900,130000,134900,134442,134900,135000,136000,137000
"Morris County","NJ","New York-Newark-Jersey City","34","027",132,249900,249900,250000,249999.5,249900,249900,249900,249900,249900,244945,239900,239000,235000,229900,229000,229500,229000,228000,228500,229000,225000,220000,212500,215000,205000,204500,209900,215000,215000,209000,2e+05,205000,210000,209900,209975,209997.5,205000,214900,209995,214900,214900,212900,215000,214000,215000,214900,214000,209900,214900,215000,219000,219900,220000,220000,223900,220000,225000,220000,219900,220000,220000,219900,224900,225000,229000,229900,225000,227000,225000,225000,226249.5,227000,225000,225000,225000,225000,225000,230000,229900,229000,229900,229900,228000,229000,225450,225000,229128,239000,235000,237811,239995,239000,239900,239950,239900,239900,248389,249900,249900,250000,254900,259000,259800,259000,265000,269900,270000,275000,278900,275000,279900,281250,285000,284999,285000,285450,284949.5
"Guilford County","NC","Greensboro-High Point","37","081",133,64900,64500,63900,60000,59900,59900,60000,59900,59900,58500,59000,59000,59900,53000,56900,58900,58900,59000,57700,56990,54900,54900,54900,55000,54900,50000,53125,53000,54900,55000,55000,54900,52000,55000,52500,55000,54900,56700,55900,55000,54900,55000,55000,55250,55000,55000,54900,53750,54900,55000,58000,58900,58000,58300,58900,59250,56900,55000,55000,55000,57500,57000,55000,54900,58900,57900,59000,57950,56750,55000,56250,56000,54900,54900,54900,54250,54900,55000,57850,59900,59900,59900,60000,59900,60000,64700,63500,61900,64900,64700,64900,62000,61500,59900,59900,59900,59900,60000,59900,59900,59900,60000,59900,59900,60000,59900,60000,59900,60500,60000,64250,64700,64000,64900,64900,64900,64999
"Dane County","WI","Madison","55","025",134,119500,119900,119900,119900,119900,119900,119900,114900,117250,119000,118900,117500,116900,114900,114950,115450,114900,115000,114900,114900,113000,112900,110000,109900,109900,109000,109900,109900,109900,112900,114000,112500,109900,109900,109900,109900,109900,109900,109900,114900,115000,117500,115000,116200,117500,115000,115000,114900,113955,116000,117000,116000,117900,119900,117900,118700,119900,119900,119900,119000,119800,119000,119900,119900,120000,119900,120000,122900,124900,125000,125000,120000,124900,128450,129900,134900,134900,134500,135900,137500,139900,139900,139400,137250,139900,140000,142000,147000,149900,150000,151500,150000,154900,154900,157000,154900,155000,156000,159700,159900,160000,165450,165000,165900,167500,169900,169900,164900,159900,158450,164900,171250,174900,175000,170000,170368,169900
"Sonoma County","CA","Santa Rosa","06","097",135,222750,226250,227950,239925,233444,234900,237000,238750,235000,235000,231450,235000,230000,213900,222900,219900,212000,210000,216850,215000,209900,206562.5,209000,199900,205900,209000,209000,199900,2e+05,199950,209450,218500,209000,210000,222000,205000,233000,229000,229900,239000,254950,260000,269000,269500,285000,289000,289000,289000,289000,299900,305000,315000,3e+05,309450,319500,320000,320000,319950,325000,325500,325000,335000,349000,349000,349000,349000,349000,350000,359000,359000,369000,359950,380000,390000,379900,385000,385000,393225,399550,4e+05,4e+05,407500,419250,409000,420000,428000,439000,435000,445000,439925,449000,449000,449950,450000,450000,445000,420000,448000,450000,449000,450000,472450,475000,475000,475000,475000,479000,469000,460000,452000,459000,459000,451000,459500,449000,450000,451000
"Spokane County","WA","Spokane-Spokane Valley","53","063",136,106900,108550,105000,106975,105000,104500,104000,103200,1e+05,1e+05,98850,95000,89950,85900,84900,85000,87000,85000,82500,84000,84900,83950,81100,79900,79900,79900,79972.5,80000,79900,79950,84000,80000,79900,80000,79900,79900,79900,81000,84500,83950,85000,88000,89500,89500,89000,89000,89000,87500,85712.5,87000,87500,89000,89900,91450,90990,91775,94900,89900,89900,89900,89900,90000,94000,92500,95000,99000,99500,99500,99450,97500,99900,99000,99900,99900,103000,105000,107500,109000,105000,105000,110000,110000,110000,110000,109950,110724,114900,118500,119900,125000,127500,128276,128880,125965,126462,125000,127900,131071,134900,137000,140000,145000,147000,149900,150000,149900,150000,149900,150000,149949.5,155000,164000,164950,160000,164999,165000,165000
"Richmond County","NY","New York-Newark-Jersey City","36","085",137,249000,249800,249900,249900,249900,249000,249000,249000,249000,245000,239000,239000,234000,229000,225000,229000,227500,225000,224250,219000,219000,215000,211500,209000,206000,210000,209900,204000,205000,199974.5,205000,206000,205000,2e+05,2e+05,199569.5,199769.5,199000,199000,199444,199900,199000,199999,199999,209900,205000,2e+05,205000,2e+05,2e+05,209450,219900,222900,220000,220000,224999.5,225000,224000,219900,225000,224999,224900,225000,225000,225000,225000,229000,229900,235000,235999,230000,234750,229450,229000,229000,237000,239000,239900,249000,249999,249900,245000,249000,243450,235000,249000,242500,256944,255000,265000,264999.5,259000,267000,263500,262149.5,267000,265000,259900,260000,262652,278000,281500,279000,279000,275000,269950,275000,285000,289000,279000,279000,284000,289900,295000,287444,289000,289000
"Onondaga County","NY","Syracuse","36","067",138,67600,67550,66400,69900,69450,69700,69900,69000,69900,69900,68950,68950,67900,65000,65000,69000,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,68500,67875,69900,69900,69900,69000,69000,69000,69900,69900,69000,69700,68900,69900,69900,69900,69900,69900,70000,69900,70000,70000,69900,69000,69000,69000,69900,69900,69900,69900,69900,70000,70000,69900,69000,68900,69000,68000,69900,70200,69900,69900,69900,69000,69000,68000,65000,65000,69000,69900,69900,69900,69900,69900,69900,72250,70000,70000,70500,67450,67950,69900,69900,69900,70000,72000,69995,69900,67500,66162,65500,68900,69900,72000,73000,72500,74900,74700,74500,74900,74500,70000,74950,75000,74900,75000,79000,78950,78000,78000,78000
