"RegionName","City","State","Metro","CountyName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"Battery Park","New York","NY","New York-Newark-Jersey City","New York County",347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28831562974203,5.38695652173913,5.61538461538461,5.60344827586207,5.34615384615385,5.27353499051612,5.39316502672704,5.29100529100529,5.52513628104179,5.56113138686131,5.53846153846154,5.51552545100932,5.59555555555556,5.63636363636364,5.65319865319865,5.69902048085485,5.66025641025641,5.63151515151515,5.63804713804714,5.63636363636364,5.63804713804714,5.59555555555556,5.63973063973064,5.62666666666667,5.58228983136169,5.46375,5.54496606334842,5.39727272727273,5.34615384615385,5.60344827586207,5.25606469002695,5.63804713804714,5.55941626129256,5.60344827586207,5.56113138686131,5.65319865319865,5.68682566723453,5.56027382407694,5.51552545100932,5.58228983136169,5.34615384615385,5.49571056962902,5.54979646266143,5.52472992320708,5.51099830795262,5.49258936355711,5.49258936355711,5.54979646266143,5.66732154551408,5.67123503465658,5.5952,5.58228983136169,5.51552545100932,5.61990595611285,5.63738738738739,5.8,5.66666666666667,5.63804713804714,5.66666666666667,5.65319865319865,5.88057040998217,5.75799086757991,5.63770794824399,5.53667262969589
"Near West Side","Chicago","IL","Chicago-Naperville-Elgin","Cook County",348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,1.75,2.05374322904034,2.35849056603774,2.67275313328346,2.44313063063063,2.24813803376365,2.39890483324135,2.16666666666667,2.04608294930876,2.24409448818898,2.11111111111111,2.41116352201258,2.51680672268908,2.36086874941364,2.39649591894174,2.3711385701677,2.39212175470009,2.48393330184611,2.51599412616672,2.60826086956522,2.36454545454545,2.28044871794872,2.18181818181818,2.23824877250409,2.3787,2.57723577235772,2.33854166666667,2.22449401073936,2.60699847444699,2.68624393624394,2.42420787545788,2.49958333333333
"Kenmore","Boston","MA","Boston-Cambridge-Newton","Suffolk County",349,,,,,,,,,,,,,,,,,,,,,,3.36884507606085,3.40592473979183,3.34904838750993,3.42028985507246,3.39332314539935,3.42871385842473,3.45132743362832,3.52459016393443,3.46527777777778,3.52767969735183,3.48346399299013,3.48953140578265,3.47451963241437,3.47084195997239,3.39753086419753,3.33055555555556,3.38376261468133,3.3,3.37923401220977,3.446964017991,3.46527777777778,3.48381015120146,3.50062656641604,3.5027027027027,3.49514563106796,3.5,3.4708621434745,3.43868394815553,3.38270616493195,3.43949044585987,3.43730247483833,3.58594910438414,3.65575221238938,3.53638425066996,3.54705882352941,3.53741496598639,3.52941176470588,3.60655737704918,3.5307609282245,3.52459016393443,3.46322907861369,3.5790838375108,3.69907407407407,3.69907407407407,3.6889332003988,3.68932038834951,3.6514055179594,3.66598778004073,3.72385620915033,3.50614720514477,3.47693531283139,3.57142857142857,3.53582449373192,3.46322907861369,3.46322907861369,3.57079646017699,3.74652777777778,3.83557692307692,3.79615705931495,3.85172981878089,3.8960456089277,3.79598428881978,3.79239000748416,3.79615705931495,3.88888888888889,3.88194444444444,4,3.92111368909513,3.85714285714286,3.88194444444444,3.90224204435873,3.85964912280702,3.78472222222222,3.80228136882129,3.85571428571429,3.8422131147541,3.79363548698168,3.90833333333333,3.91153846153846,3.8944042842343,3.89948006932409,3.95868837374617,3.97475712693104,3.97435897435897,4.01496577411909,4,3.88026607538803,3.79615705931495
"Central West End","Saint Louis","MO","St. Louis","Saint Louis City",350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56577885391445,1.55983801733865,1.58094601137581,1.54768392370572,1.56992646399426,1.57425593444993,1.56577885391445,1.57408366916139,1.61146953405018,1.54656923458013,1.4917695473251,1.43307788944724,1.46609651802077,1.5,1.39594357976654,1.47368421052632,1.52542372881356,1.52542372881356,1.55,1.55,1.52607003891051,1.48598130841122,1.42261673151751,1.40449438202247,1.42064304730698,1.4
"North Gateway","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07319757842598,1.11843607012493,1.1,1.11337466784765,1.18870403867524,1.21169176262179,1.16651904340124,1.19814814814815,1.19814814814815,1.21030927835052,1.20513426359121,1.2174320524836,1.2577523698073,1.24866694505565,1.23505154639175,1.24077783326793,1.24523160762943,1.27113402061856
"North Shore","Miami Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26230405253163,2.26244343891403,2.28016850637231,2.29242622764042,2.21275206731467,2.28373702422145,2.18089430894309,2.14460784313725,2.13114754098361,2.22412318220701,2.19512195121951,2.10463095481497,2.17391304347826,2.26550680786687,2.28416149068323,2.24358974358974,2.30880230880231,2.19106047326906,2.27618126554297,2.1505376344086,2.30174731182796,2.25490196078431,2.28070175438596,2.25980392156863,2.22222222222222,2.1901211556384,2.26772412021577,2.18413520512471,2.19818614332441,2.28088711334909,2.35772357723577,2.38633754305396,2.33208955223881
"Crossroads","Bellevue","WA","Seattle-Tacoma-Bellevue","King County",353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58229654440878,2.57039055404178,2.60389310164356,2.55767397521449,2.46439494163424,2.311,2.363,2.65520728008089,2.65753537269177,2.6892531240655,2.55558619825404,2.71797323135755,2.52167182662539
"Squirrel Hill South","Pittsburgh","PA","Pittsburgh","Allegheny County",354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4605137963844,1.49096098953378,1.55280685061846,1.48741830065359,1.36942146636061,1.45474137931034,1.43946787365541,1.46835486531061,1.41987829614604,1.42422486235874,1.37619047619048,1.33571428571429,1.41987829614604,1.44444444444444,1.52,1.51905582052641,1.52702702702703,1.47862232779097,1.41666666666667,1.36921045682598,1.35746606334842,1.34047619047619,1.39705882352941,1.4030303030303,1.42718052738337,1.41866913123845,1.42844502256267,1.48823529411765,1.48330683624801,1.54422137595872,1.47708002119767,1.41866913123845,1.48026315789474
"West University","Austin","TX","Austin-Round Rock","Travis County",355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82481751824818,1.88679245283019,1.8125,1.88374596340151,1.87878787878788,1.88947368421053,1.88735979292494,1.86813186813187,1.82907542579075,1.78378378378378,1.72272727272727,1.72666666666667,1.82237044494784,1.83783783783784,1.83701863428135,1.83431952662722,1.82241887034755,1.81875792141952,1.81586608442504,1.81875792141952,1.80436847103514,1.76176470588235,1.66666666666667,1.77777777777778,1.83783783783784,1.90536767353589,1.92945881552076,1.94624652455978,1.92105263157895,1.93649193548387,1.9854409755072,1.96418550585217,1.96097883597884,1.8670410600546,1.81496466966722,1.88498852753392
"Downtown","Atlanta","GA","Atlanta-Sandy Springs-Roswell","Fulton County",356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66277199743231,1.66449329496683,1.69250801282051,1.69230769230769,1.67741935483871,1.73823833950228,1.52439024390244,1.53482205351855,1.69230769230769,1.96551724137931,2.06772806642923,2.19663418954827,2.21289752650177,2.14664310954064,2.14664310954064,2.14701052402891,2.13360388884274,2.05048715677591,2.06056131310377,2.0273851590106,1.90376569037657,1.85257032007759,1.8807117273463,1.87847866419295,1.86456400742115,1.82997987927565,1.84622067767159
"Scripps Ranch","San Diego","CA","San Diego-Carlsbad","San Diego County",357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11637931034483,2.14870689655172,2.12068965517241,2.11637931034483,2.10991379310345,2.11637931034483,1.96034482758621,1.98189655172414,2.06724137931035,2.14684296365331,2.27713178294574,2.16163793103448,2.13878326996198,2.18408736349454,2.24288840262582,2.17785843920145
"Pawtucketville","Lowell","MA","Boston-Cambridge-Newton","Middlesex County",358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65016501650165,1.75,1.66666666666667,1.64582033146106,1.60910518053375,1.60455259026688,1.59090909090909,1.60191798050577,1.58469945355191,1.59756097560976,1.63256742908877,1.61999437391675,1.62706085062248,1.83908045977011,1.82080924855491,1.86533333333333,1.81118314424635,1.60669162770003,1.60944206008584,1.60910518053375,1.62176232278821,1.62627052384676,1.7,1.71686746987952,1.70069444444444,1.70239785125807,1.73431767310487,1.76017601760176,1.73611111111111
"Capitol","Madison","WI","Madison","Dane County",359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71686746987952,1.62,1.78421052631579,1.80382775119617,1.86858552631579,1.71149144254279,1.73138888888889,1.88118811881188,1.76205300127714,1.7027027027027,1.695,1.71006944444444,1.66666666666667,1.65555555555556,1.65,1.66611111111111,1.66555555555556,1.64695910150456,1.56809210526316,1.595,1.68578984176939,1.66123617693523,1.59309523809524,1.58587257617729,1.52941176470588,1.58651426974002,1.65555555555556,1.63816964285714,1.6728624535316,1.66666666666667,1.66224580017683,1.70547613729432,1.65271966527197
"Lake Hills","Bellevue","WA","Seattle-Tacoma-Bellevue","King County",360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9504398979645,1.966,2,1.98736842105263,1.94526315789474,1.944,1.95603618421053,2.07843429158111,2.10526315789474,2.15923566878981,2.07446808510638,2.023
"Gandy-Sun Bay South","Tampa","FL","Tampa-St. Petersburg-Clearwater","Hillsborough County",361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21276595744681,1.26682581395815,1.23779946761313,1.27777777777778,1.47294372294372,1.46348303044024,1.50287356321839,1.49880095923261,1.50324675324675,1.43243243243243,1.4409724402034,1.44155844155844,1.44076840981857,1.50287356321839,1.55778894472362,1.63961038961039,1.65613026819923,1.61670761670762,1.52417322040734,1.52417322040734,1.61901982167628,1.55954891259406,1.56709956709957,1.58387445887446,1.58170995670996,1.57954545454545,1.57558139534884,1.59174851942799,1.56727574750831,1.59469696969697,1.59100976542837,1.64567977067977,1.60606060606061
