"RegionID","RegionName","RegionType","StateName","SizeRank","2010-11","2010-12","2011-1","2011-2","2011-3","2011-4","2011-5","2011-6","2011-7","2011-8","2011-9","2011-10","2011-11","2011-12","2012-1","2012-2","2012-3","2012-4","2012-5","2012-6","2012-7","2012-8","2012-9","2012-10","2012-11","2012-12","2013-1","2013-2","2013-3","2013-4","2013-5","2013-6","2013-7","2013-8","2013-9","2013-10","2013-11","2013-12","2014-1","2014-2","2014-3","2014-4","2014-5","2014-6","2014-7","2014-8","2014-9","2014-10","2014-11","2014-12","2015-1","2015-2","2015-3","2015-4","2015-5","2015-6","2015-7","2015-8","2015-9","2015-10","2015-11","2015-12","2016-1","2016-2","2016-3","2016-4","2016-5","2016-6","2016-7","2016-8","2016-9","2016-10","2016-11","2016-12","2017-1","2017-2","2017-3","2017-4","2017-5","2017-6","2017-7","2017-8","2017-9","2017-10","2017-11","2017-12","2018-1","2018-2","2018-3","2018-4","2018-5","2018-6","2018-7","2018-8","2018-9","2018-10","2018-11","2018-12","2019-1","2019-2","2019-3","2019-4","2019-5","2019-6","2019-7","2019-8","2019-9"
753889,"Hillsdale, MI","Msa","MI",587,9.91,10,9.81,9.72,9.63,9.53,9.44,9.35,9.25,9.16,9.07,8.79,8.22,7.57,7.2,5.7,4.02,4.77,6.92,7.76,7.29,5.61,3.46,3.93,5.89,7.85,6.07,3.08,1.03,0.84,2.34,5.79,6.73,5.33,4.67,3.27,2.62,1.96,1.78,0.93,0.47,0.37,0.19,0.09,0.28,1.31,3.64,5.42,2.99,1.5,0.75,0.65,1.12,1.4,1.87,2.8,4.39,4.21,3.83,3.74,4.49,5.51,2.43,1.68,0.56,1.21,1.59,2.71,4.3,5.14,4.95,3.36,3.18,2.24,4.58,5.23,6.64,6.54,7.01,6.36,6.26,7.38,8.13,8.6,8.32,7.94,6.82,5.05,2.52,2.06,3.55,6.45,8.41,8.88,8.97,8.69,8.5,8.04,7.48,5.98,4.11,2.15,2.9,4.86,6.17,7.1,7.66
394990,"Ponca City, OK","Msa","OK",589,1.12,1.03,0.93,0.84,0.47,0.37,0.19,0.09,0.56,1.31,5.7,7.29,2.99,1.59,0.75,0.28,0.65,1.5,3.36,4.21,4.39,5.61,6.07,3.27,2.71,2.52,7.2,7.85,8.22,4.86,3.93,3.18,5.14,7.66,9.53,9.81,9.63,9.07,9.35,9.16,7.76,7.01,5.51,7.57,8.13,8.69,6.54,6.45,8.04,9.25,8.97,7.48,4.3,2.34,1.68,2.06,4.95,8.6,9.44,8.32,6.92,6.26,6.82,5.33,4.02,2.8,3.64,5.23,7.1,7.38,8.79,9.72,10,9.91,8.88,5.05,2.15,1.4,1.21,1.78,2.62,6.73,8.41,7.94,5.98,5.79,5.42,5.89,4.77,3.74,3.46,3.83,4.67,4.11,3.08,4.58,6.64,8.5,6.36,3.55,2.24,1.87,1.96,2.43,2.9,4.49,6.17
395017,"Red Wing, MN","Msa","MN",590,0.65,0.56,0.37,0.19,0.09,0.28,0.47,0.75,0.93,1.03,0.84,1.21,1.12,1.31,1.4,2.52,2.43,2.8,2.15,2.99,3.36,3.55,3.74,3.93,4.11,3.83,3.64,3.27,2.9,2.62,2.24,2.06,1.78,1.87,1.68,1.5,1.59,1.96,2.34,2.71,3.08,3.18,3.46,4.02,4.3,4.21,4.39,4.49,5.89,7.29,7.01,5.7,4.86,5.14,6.07,5.79,5.61,5.33,5.98,5.42,4.95,4.77,5.23,5.51,7.1,6.92,6.73,6.26,6.82,7.38,7.57,6.45,6.36,6.17,6.64,7.2,5.05,4.67,4.58,6.54,7.66,8.13,7.94,8.32,8.41,8.88,9.44,9.53,9.72,9.81,10,9.91,9.63,9.16,9.35,9.07,9.25,8.69,8.6,8.04,7.76,7.48,7.85,8.22,8.5,8.97,8.79
753918,"Shawano, WI","Msa","WI",591,7.57,7.38,7.01,5.61,4.39,2.52,1.31,1.03,0.75,1.12,0.09,0.19,0.28,0.93,0.65,0.84,0.56,0.37,0.47,1.21,1.5,1.78,2.34,1.68,2.06,2.24,1.87,2.71,3.36,3.74,3.27,2.62,1.4,2.15,2.99,3.18,2.9,2.8,3.08,1.96,1.59,2.43,3.83,4.3,4.67,4.21,4.02,5.05,5.42,5.7,6.17,7.2,7.1,6.45,5.98,6.07,6.36,5.89,6.73,6.64,6.82,6.54,6.92,6.26,5.51,4.77,3.64,3.46,4.11,5.14,5.33,4.95,4.86,5.23,4.49,3.93,3.55,4.58,5.79,7.29,7.48,7.66,7.76,7.85,7.94,8.04,8.13,8.22,8.6,8.5,8.32,8.41,8.97,9.07,8.79,8.69,8.88,9.16,9.44,9.25,9.35,9.53,9.91,10,9.72,9.81,9.63
394446,"Cedar City, UT","Msa","UT",592,1.68,1.87,1.96,1.5,2.15,1.12,0.84,0.19,0.37,0.65,0.47,0.28,0.09,1.4,3.55,2.43,0.56,1.21,5.98,9.25,6.73,6.07,5.42,4.95,6.17,6.26,8.13,8.5,9.44,7.76,6.54,3.93,2.99,2.06,2.9,2.52,3.36,2.8,5.51,8.88,9.81,8.41,5.33,4.21,3.83,2.62,1.59,1.31,1.78,2.24,0.93,1.03,0.75,3.64,3.46,5.05,4.39,4.02,4.58,6.36,6.92,5.79,5.23,5.14,7.66,9.07,10,9.72,9.16,8.6,7.94,7.85,8.04,8.32,6.45,4.49,3.18,3.27,2.34,2.71,3.74,6.64,8.69,9.91,8.79,7.38,7.2,7.29,7.1,5.7,5.61,6.82,8.97,9.63,9.53,9.35,8.22,5.89,4.11,3.08,4.67,4.3,4.86,4.77,7.01,7.48,7.57
394375,"Bedford, IN","Msa","IN",593,5.98,5.89,6.36,6.64,7.94,8.69,9.25,8.88,7.48,6.54,5.42,3.55,1.68,0.75,0.65,1.4,2.34,4.58,6.26,8.41,8.04,7.85,7.76,5.79,3.83,1.96,1.5,1.21,1.12,1.31,1.87,3.08,4.3,4.49,2.71,1.59,0.56,0.19,0.09,0.28,1.03,2.24,3.27,3.18,2.8,2.62,2.52,1.78,2.06,2.99,5.33,7.1,8.13,9.07,9.16,8.97,8.22,8.5,7.01,4.77,2.15,0.84,0.47,0.37,0.93,2.43,4.95,5.7,6.17,6.73,5.61,4.39,4.02,4.11,5.14,4.67,4.21,3.36,3.46,4.86,6.07,7.57,7.29,5.23,3.74,2.9,3.64,3.93,5.05,5.51,7.2,9.53,9.91,10,9.72,8.6,6.82,6.45,6.92,7.38,7.66,8.32,8.79,9.35,9.63,9.81,9.44
394631,"Gillette, WY","Msa","WY",594,9.81,10,9.91,9.72,9.63,9.53,9.35,9.25,9.44,9.16,9.07,8.13,6.07,3.36,1.59,1.68,3.08,4.49,5.42,5.51,5.98,5.89,6.45,6.92,7.01,5.61,4.21,2.52,2.24,2.15,2.71,3.74,5.05,4.77,4.58,3.83,4.39,3.18,2.43,2.9,3.64,4.67,3.93,2.99,3.55,5.79,7.66,7.48,6.64,6.36,7.29,8.6,8.88,8.97,8.79,8.69,8.5,8.04,7.76,7.94,8.32,8.41,7.38,5.23,2.62,1.4,2.34,3.27,4.86,4.95,4.02,1.5,0.28,0.09,0.19,0.47,2.8,1.87,1.78,1.96,1.31,1.12,0.75,0.37,0.56,0.65,0.84,0.93,1.03,1.21,2.06,3.46,6.17,6.82,7.57,7.1,6.73,6.26,5.7,5.14,4.3,4.11,5.33,6.54,7.2,7.85,8.22
753905,"Newport, OR","Msa","OR",595,0.56,1.03,2.99,3.93,4.3,1.87,1.5,0.84,1.68,2.43,3.64,2.62,2.15,2.06,1.78,1.31,0.65,1.21,1.12,0.93,0.19,0.09,0.47,1.59,2.71,3.83,3.18,4.95,6.26,7.2,7.29,6.07,4.49,2.34,3.36,3.55,3.08,2.24,2.52,2.9,1.96,1.4,0.37,0.28,0.75,2.8,4.58,4.67,4.77,4.39,4.02,3.27,3.74,3.46,5.23,6.73,8.6,8.69,7.38,6.64,6.36,5.89,5.61,5.14,5.51,5.79,5.33,4.86,5.05,5.42,6.17,6.45,6.82,7.01,6.92,6.54,5.7,4.11,4.21,5.98,7.1,7.57,7.48,8.22,7.85,8.32,7.94,7.76,7.66,8.41,9.16,9.44,9.25,8.88,8.13,8.04,8.5,8.79,8.97,9.35,9.63,9.81,10,9.91,9.72,9.53,9.07
395201,"Wapakoneta, OH","Msa","OH",596,1.78,1.4,0.75,0.47,0.84,1.96,2.43,2.15,1.68,1.31,1.5,1.59,1.03,0.65,0.09,0.37,0.56,0.19,0.28,1.21,2.34,3.74,5.23,6.17,3.36,2.52,2.24,3.08,5.98,6.64,6.54,5.89,4.49,5.05,5.51,4.67,4.11,4.95,5.42,4.58,3.64,4.02,6.07,6.26,4.77,2.9,2.71,3.55,5.14,5.7,4.21,2.62,1.87,0.93,1.12,2.06,3.27,4.3,3.93,3.46,4.39,5.61,6.36,5.79,4.86,3.18,2.8,2.99,3.83,5.33,6.45,6.73,6.82,7.01,7.2,7.57,7.38,6.92,7.1,7.66,9.35,8.97,8.79,8.6,8.88,9.25,9.07,8.5,7.76,8.13,8.69,9.53,9.63,10,9.91,9.44,8.32,7.85,8.04,8.22,8.41,7.48,7.29,7.94,9.16,9.72,9.81
394377,"Bellefontaine, OH","Msa","OH",597,1.96,0.84,0.47,0.56,0.37,0.28,0.09,0.19,0.75,3.55,5.98,5.33,4.67,4.86,4.77,2.9,0.93,0.65,2.15,3.64,4.49,3.27,2.62,1.21,1.12,1.68,2.24,2.34,3.08,5.05,5.89,4.95,3.36,4.02,5.51,7.38,6.73,5.42,3.74,2.8,2.06,1.87,3.18,4.39,6.54,6.17,7.01,6.07,6.26,4.58,4.21,2.71,1.5,1.03,1.59,3.83,6.64,7.76,6.82,5.7,5.79,5.61,4.3,2.52,1.78,2.43,3.93,5.23,6.36,6.45,6.92,7.57,7.66,7.1,5.14,4.11,2.99,1.31,1.4,3.46,7.48,8.22,8.5,8.69,8.79,9.07,8.88,8.04,7.29,7.2,8.13,9.16,9.63,9.81,10,9.91,9.44,8.97,8.6,8.32,7.85,7.94,8.41,9.25,9.72,9.53,9.35
