"RegionID","RegionName","RegionType","StateName","SizeRank","MSA","MSARegionID","2010-11","2010-12","2011-1","2011-2","2011-3","2011-4","2011-5","2011-6","2011-7","2011-8","2011-9","2011-10","2011-11","2011-12","2012-1","2012-2","2012-3","2012-4","2012-5","2012-6","2012-7","2012-8","2012-9","2012-10","2012-11","2012-12","2013-1","2013-2","2013-3","2013-4","2013-5","2013-6","2013-7","2013-8","2013-9","2013-10","2013-11","2013-12","2014-1","2014-2","2014-3","2014-4","2014-5","2014-6","2014-7","2014-8","2014-9","2014-10","2014-11","2014-12","2015-1","2015-2","2015-3","2015-4","2015-5","2015-6","2015-7","2015-8","2015-9","2015-10","2015-11","2015-12","2016-1","2016-2","2016-3","2016-4","2016-5","2016-6","2016-7","2016-8","2016-9","2016-10","2016-11","2016-12","2017-1","2017-2","2017-3","2017-4","2017-5","2017-6","2017-7","2017-8","2017-9","2017-10","2017-11","2017-12","2018-1","2018-2","2018-3","2018-4","2018-5","2018-6","2018-7","2018-8","2018-9","2018-10","2018-11","2018-12","2019-1","2019-2","2019-3","2019-4","2019-5","2019-6","2019-7","2019-8","2019-9"
34940,"Yuba City","City","CA",681,"Yuba City",395246,1.59,1.5,1.21,1.03,1.12,1.4,0.93,0.47,0.28,0.65,0.75,0.56,0.19,0.09,0.37,0.84,1.31,1.68,1.87,2.06,1.96,2.15,2.62,2.71,3.18,3.74,4.86,5.42,5.51,5.33,5.61,6.54,7.94,8.6,9.53,9.91,8.97,7.76,6.73,6.07,5.79,5.23,4.77,4.21,3.93,2.9,2.24,2.43,3.08,3.64,2.8,2.34,1.78,2.52,2.99,4.67,5.14,5.05,4.49,4.39,4.11,4.02,3.55,3.83,3.27,3.36,3.46,4.3,4.58,4.95,5.7,6.26,6.36,5.98,5.89,6.17,6.64,6.92,8.22,8.69,8.5,8.13,7.38,7.48,7.85,8.88,9.35,9.07,9.25,10,9.81,9.72,9.63,9.44,8.41,7.29,6.82,6.45,7.01,7.2,7.66,8.32,9.16,8.79,8.04,7.57,7.1
52899,"Lauderhill","City","FL",682,"Miami-Fort Lauderdale-West Palm Beach",394856,8.32,9.16,9.63,8.97,6.07,1.4,0.84,0.19,0.28,0.09,1.78,4.39,6.92,5.42,4.58,6.54,5.89,4.77,3.83,4.49,5.33,5.61,3.93,4.21,6.73,9.81,10,9.91,8.41,7.01,5.98,3.64,2.34,1.59,1.96,2.71,3.55,2.52,1.31,0.56,0.93,2.24,4.02,2.62,1.21,0.65,0.75,1.68,2.9,2.06,1.5,1.12,2.15,3.27,3.08,2.8,4.3,5.51,5.7,3.74,3.36,2.99,1.87,0.47,0.37,1.03,5.14,9.07,9.35,9.44,8.79,8.5,7.2,6.26,6.17,7.29,7.48,7.85,7.94,8.22,8.69,7.76,7.38,5.23,6.45,6.64,4.86,5.05,6.82,8.88,9.72,9.53,9.25,8.04,7.1,5.79,6.36,7.66,8.6,8.13,7.57,4.95,3.46,2.43,3.18,4.11,4.67
21412,"Yorba Linda","City","CA",683,"Los Angeles-Long Beach-Anaheim",753899,1.31,1.21,1.5,1.59,1.4,0.93,0.28,0.09,0.19,0.37,0.65,0.84,0.56,0.47,0.75,1.03,1.12,1.68,1.78,1.96,2.24,3.74,4.77,5.98,5.79,6.45,6.26,8.04,9.16,9.91,10,9.81,9.72,9.63,9.35,9.07,8.32,7.48,6.17,4.58,3.46,2.52,2.62,3.18,2.99,2.8,2.15,2.34,2.71,2.9,4.21,4.11,4.3,3.93,4.39,5.23,6.07,6.82,7.01,7.66,8.5,7.85,5.51,5.33,7.57,8.97,8.69,7.1,5.89,4.67,3.64,3.55,4.49,4.86,5.14,5.42,6.54,7.94,7.29,6.73,5.05,5.7,7.2,7.38,8.13,8.88,9.44,9.53,9.25,8.79,8.22,8.41,8.6,7.76,6.92,6.36,5.61,6.64,4.95,3.08,2.06,1.87,2.43,3.27,4.02,3.36,3.83
31612,"Fort Mill","City","SC",684,"Charlotte-Concord-Gastonia",394458,1.5,1.21,1.03,0.75,0.56,0.37,0.09,0.19,0.28,0.47,0.65,0.84,0.93,1.12,1.31,1.4,1.59,1.68,1.78,1.87,2.43,2.34,2.15,2.06,1.96,2.24,2.52,2.62,2.71,2.8,3.18,3.08,2.9,2.99,3.27,3.64,4.02,4.39,4.49,4.77,4.21,3.93,3.36,3.74,3.46,3.55,3.83,4.11,4.3,4.58,4.67,4.86,4.95,5.14,5.05,5.23,5.33,5.42,5.61,6.07,6.54,6.36,6.17,5.7,6.82,8.41,8.79,8.32,8.04,8.13,7.66,7.29,7.48,7.57,7.76,7.2,6.45,6.64,7.38,7.1,6.92,7.94,8.88,8.97,9.16,9.35,9.53,9.72,9.81,9.91,10,9.63,9.44,9.25,9.07,8.5,7.01,5.89,5.51,5.79,5.98,6.26,6.73,8.22,8.69,8.6,7.85
37851,"Cherry Hill","City","NJ",685,"Philadelphia-Camden-Wilmington",394974,2.8,3.46,3.74,3.08,2.24,0.65,0.19,0.09,0.37,1.03,1.68,2.06,1.96,0.93,0.56,0.28,0.47,0.75,1.21,1.31,1.87,1.78,2.43,2.34,1.5,1.12,0.84,1.4,2.9,2.71,2.15,1.59,2.52,3.27,3.36,3.64,3.93,5.61,5.79,5.98,6.26,7.48,7.85,7.57,6.45,6.82,6.92,7.29,6.54,5.42,4.3,3.55,2.62,2.99,3.18,4.49,4.39,4.77,4.02,4.58,5.33,5.51,4.21,3.83,4.11,5.05,5.89,6.73,7.2,6.07,4.86,4.95,6.36,9.07,9.91,10,9.72,9.53,9.81,9.63,8.88,7.1,5.7,4.67,5.14,6.17,7.38,7.66,7.76,8.5,9.35,9.44,8.6,8.32,8.69,7.94,7.01,5.23,6.64,8.22,9.16,8.79,8.13,8.04,8.41,8.97,9.25
13366,"Port Charlotte","City","FL",686,"Punta Gorda",395009,7.29,6.54,5.05,3.55,2.43,1.78,0.75,0.28,0.47,1.5,6.73,8.97,9.25,9.35,9.81,9.53,5.61,1.59,0.37,0.19,0.09,0.56,1.03,3.18,6.45,7.48,7.94,7.85,8.13,8.04,7.76,7.38,5.79,4.02,2.71,3.64,5.33,6.17,4.95,2.9,2.34,2.99,3.46,2.06,1.12,1.31,2.15,3.83,4.3,5.42,5.51,5.98,5.7,7.66,9.16,9.91,8.22,6.07,4.58,5.23,7.01,8.69,10,9.72,8.79,7.2,7.57,8.88,9.44,9.07,8.41,8.32,7.1,6.64,3.74,2.24,1.21,1.68,1.87,1.4,0.93,0.65,0.84,1.96,4.86,6.92,8.6,9.63,8.5,6.82,5.89,6.26,6.36,5.14,3.93,2.52,2.62,4.39,4.67,4.77,2.8,3.08,3.36,4.21,4.49,4.11,3.27
57030,"Layton","City","UT",687,"Ogden-Clearfield",394931,1.31,1.12,1.03,0.84,0.75,0.56,0.09,0.19,0.28,0.47,0.37,0.65,0.93,1.21,1.4,1.5,1.68,1.59,2.15,2.99,3.83,3.55,3.27,3.18,2.9,3.46,3.74,4.39,4.58,4.77,4.11,4.02,4.21,4.49,4.95,5.14,4.86,5.23,4.67,4.3,3.64,2.43,2.06,1.87,2.34,2.52,2.62,2.71,3.08,3.36,2.8,1.96,1.78,2.24,3.93,5.51,5.33,5.42,5.79,5.98,6.54,5.89,5.7,5.05,5.61,6.26,6.92,6.45,6.17,6.07,6.36,6.73,7.85,8.5,8.97,9.44,9.35,9.07,8.69,8.79,9.16,9.25,8.6,7.57,6.82,7.38,8.13,9.63,9.81,10,9.91,9.72,9.53,8.41,7.94,7.66,7.2,7.29,7.48,8.04,8.32,7.76,7.1,6.64,7.01,8.22,8.88
33612,"Redondo Beach","City","CA",688,"Los Angeles-Long Beach-Anaheim",753899,1.03,1.5,1.59,1.78,1.21,0.84,0.47,0.56,0.28,0.09,0.19,0.37,0.75,0.65,1.12,0.93,1.31,1.4,1.68,1.87,1.96,2.06,2.52,2.43,2.34,2.15,2.24,2.62,3.36,4.39,5.33,5.79,6.54,6.73,6.64,6.26,6.82,7.29,6.45,5.51,4.3,3.74,3.64,4.95,4.67,4.86,4.02,4.11,3.27,2.71,2.99,3.83,7.48,7.94,8.22,5.42,5.7,5.23,7.01,8.04,9.63,10,9.16,7.85,7.38,7.2,6.92,5.89,5.61,4.77,5.05,5.14,5.98,6.07,4.49,4.21,4.58,7.66,8.79,8.69,8.13,8.41,9.07,9.35,8.88,8.5,8.97,9.72,9.81,9.91,8.6,9.25,9.44,9.53,7.57,6.36,7.1,8.32,7.76,6.17,3.93,3.18,2.9,2.8,3.08,3.46,3.55
41054,"Statesville","City","NC",689,"Charlotte-Concord-Gastonia",394458,0.37,1.12,1.4,1.59,0.93,0.84,0.65,0.75,0.09,0.28,0.47,2.43,2.06,2.24,1.03,0.19,0.56,1.21,3.08,3.46,4.21,4.3,4.58,3.93,4.95,4.39,4.02,3.64,3.27,2.62,1.87,1.31,1.5,1.68,3.36,3.18,2.8,2.15,2.71,3.55,4.77,4.67,3.74,2.9,2.34,1.96,1.78,2.52,2.99,3.83,4.11,6.07,6.26,6.45,5.7,5.33,5.79,5.98,5.89,4.49,5.05,4.86,5.51,5.14,5.23,5.42,5.61,6.17,6.36,6.73,6.54,6.64,7.38,7.48,7.57,7.01,6.92,6.82,7.2,7.1,7.29,8.04,9.07,9.35,8.5,7.94,7.76,7.85,7.66,8.22,8.79,9.72,8.97,8.6,8.32,8.13,8.41,8.69,9.25,9.44,9.53,8.88,9.63,9.81,10,9.91,9.16
51752,"Dubuque","City","IA",690,"Dubuque",394542,3.64,4.02,3.55,1.21,0.47,0.28,0.09,0.19,0.37,0.56,1.68,3.46,2.71,1.78,0.84,1.12,0.93,0.65,1.87,3.83,5.14,4.39,2.43,1.59,0.75,1.03,2.15,2.34,2.62,1.31,1.5,1.4,2.06,2.9,4.11,4.95,5.51,4.49,2.8,3.36,5.05,6.45,7.29,7.01,5.7,3.27,2.24,1.96,3.18,3.93,4.58,4.21,2.52,2.99,3.08,3.74,4.3,4.77,5.23,4.67,4.86,5.33,5.61,5.89,6.07,6.82,6.36,6.73,7.85,8.22,7.66,6.92,6.26,5.98,5.79,5.42,6.17,7.57,8.32,7.94,6.64,6.54,7.76,8.41,8.6,8.88,8.97,9.91,9.81,10,9.72,8.79,8.13,8.04,7.38,7.2,7.1,7.48,8.5,8.69,9.53,9.16,9.25,9.35,9.63,9.44,9.07
