"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"Mid City","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3972.5,3600,3350,3900,3700,3645,3895,4200,3897.5,3950,3950,3800,3550,3375,3680,3687.5,3710,4250,4070,4145,3925,4095,4000,4000,3900,3750,3600,3749,3800,4047.5,4000,3942.5,3800
"Northwest","El Paso","TX","El Paso","El Paso County",52,,,1500,1500,1475,1400,1400,1372.5,1350,1350,1300,1300,1350,1300,1397.5,1400,1397.5,1375,1350,1400,1395,1400,1362.5,1360,1392.5,1387.5,1400,1362.5,1350,1300,1350,1300,1300,1295,1299.5,1300,1299.5,1300,1275,1275,1300,1350,1324.5,1275,1250,1250,1237.5,1250,1295,1300,1250,1300,1350,1350,1300,1300,1250,1250,1250,1200,1250,1250,1250,1250,1250,1375,1272.5,1250,1250,1250,1300,1250,1250,1250,1250,1250,1295,1295,1295,1295,1297.5,1250,1250,1250,1250,1292.5,1280,1250,1348.5,1350,1350,1300,1250,1250,1275,1250,1250,1250,1250,1300,1300,1350,1316.5,1295,1300
"Lower East Side","New York","NY","New York-Newark-Jersey City","New York County",53,,,3200,3525,3650,3600,3750,3750,3750,3950,3772.5,3722.5,3600,3797.5,3900,3900,4095,4047.5,4200,4500,4750,4600,4200,4200,4400,4400,4375,4300,4295,4350,4200,4200,4495,4450,4350,4350,4495,4500,4500,4500,4495,4495,4487,4586.5,4586.5,4491,4288,4269,4355,4500,4500,4495,4672.5,4695,4685,4697.5,4685,4675,4554.5,4600,4580,4540,4895,4800,4700,4900,4762,4750,4500,4945,4591.5,4672.5,4800,4547.5,4500,4500,4500,4500,4500,4575,4447,4240,4500,4500,4587.5,4550,4797.5,4800,4800,4650,4775,4655,4595,4500,4850,4700,4575,4624.5,4600,4595,4700,4700,4800,4810,4800
"Sun Valley","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750,2925,2800,2895,3000,3000,2947.5,2972.5,2900,2995,2950,2900
"Northridge","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,2596.5,2600,2700,2700,2797.5,2800,2795,2795,2800,2800,2800,2800,2772.5,2800,2850,2900,2850,2899,2798,2850,2850,2850,2800,2880,2800,2986.5,2997.5,3000,3135,3025,2992.5
"Flushing","New York","NY","New York-Newark-Jersey City","Queens County",56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2350,2300,2300,2400,2400,2500,2325,2497.5,2500,2500,2550,2500,2500,2500,2500,2500,2400,2500,2450,2425,2475,2425,2400,2400,2400,2325,2400,2400,2400,2400,2500,2487.5,2500,2500
"Alafaya","Orlando","FL","Orlando-Kissimmee-Sanford","Orange County",57,,1200,1225,1225,1250,1295,1295,1295,1292,1250,1225,1250,1250,1230,1250,1252.5,1250,1295,1296.5,1295,1295,1295,1260,1275,1250,1250,1295,1300,1300,1300,1297.5,1300,1300,1295,1295,1300,1300,1295,1299,1300,1350,1350,1375,1325,1325,1350,1320,1320,1300,1350,1334,1350,1395,1395,1425,1395,1400,1395,1400,1400,1400,1425,1400,1395,1400,1425,1460,1475,1400,1500,1450,1467.5,1495,1500,1475,1517.5,1545,1537,1550,1575,1597,1570,1550,1575,1570,1550,1580,1600,1628.5,1605,1625,1653,1649.5,1695,1720,1694.5,1700,1695,1675,1699,1700,1700,1725,1739,1700
"South Ozone Park","New York","NY","New York-Newark-Jersey City","Queens County",58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,2225,2200,2300,2300,2400,2325,2375,2300,2300,2250,2400,2375,2350,2350,2300,2300,2300,2300,2300,2300,2300,2350,2400,2400,2300
"Ahwatukee Foothills","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1366.5,1346,1348,1367,1418.5,1436,1360,1385.5,1400,1338,1405,1397.5,1332,1400,1480,1481,1492,1459,1443.5,1417.5,1478,1605,1533.5,1575,1572,1575,1562,1551,1553.5
"Sharpstown","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1395,1400,1400,1400,1397,1400,1400,1450,1397.5,1350,1350,1397.5,1395,1400,1399.5,1400,1495,1497.5,1462.5,1450,1495,1500,1472.5,1495,1495,1525,1500,1450,1450,1450,1450,1450
"West","Arlington","TX","Dallas-Fort Worth-Arlington","Tarrant County",61,,,,,,1150,1085,997.5,1095,1100,1095,1095,1100,1120,1050,1095,1095,1100,1095,1120,1100,1097.5,1100,1125,1100,1150,1150,1150,1157.5,1150,1156.5,1106.5,1150,1150,1150,1150,1150,1177.5,1195,1195,1200,1250,1250,1250,1250,1249.5,1200,1200,1297.5,1299,1253.5,1295,1295,1312.5,1350,1350,1350,1275.5,1295,1350,1350,1395,1372.5,1385,1347.5,1350,1425,1362.5,1400,1425,1350,1397.5,1395,1400,1397.5,1450,1475,1550,1525,1495,1500,1500,1495,1495,1500,1495,1500,1562.5,1590,1550,1550,1500,1500,1497.5,1500,1500,1500,1550,1497,1550,1550,1600,1600,1570,1600
"North Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2992.5,3185,3290,3325,3325,3225,3190,3315,3300,3275,3200,3300,3315,3224.5,3297.5,3341.5,3370,3400,3305,3362,3300,3260,3257.5,3300,3295,3302.5,3280,3267.5,3250,3395,3362.5,3435,3500
"San Pedro","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,2300,2400,2400,2540,2530,2540,2500,2500,2650,2500,2495,2400,2412.5,2550,2500,2495,2700,2780,2800,2700,2697.5,2672.5,2600,2595,2650,2700,2695,2800,2845,2700,2757.5,2795
"North Valley","San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3165,3200,3200,3200,3245,3350,3350,3300,3200,3200,3200,3200,3250,3350,3300,3337.5,3397.5,3425,3495,3500,3400,3395,3400,3400,3400,3450,3500,3499,3500,3400,3600,3497.5,3472.5
