"RegionName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"Worcester, MA",56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1.04554865424431,1.07125,1.05263157894737,1.08173076923077,1.0625,1.03769949220167,1.04,1.01553790412486,1.07142857142857,1.04166666666667,1.07620902029673,1.07783783783784,1.05680501458866,1.04166666666667,1.09554370076774,1.04464285714286,1.08012820512821,1.04166666666667,1.04166666666667,1.05555555555556,1.09090909090909,1.09090909090909,1.09945054945055,1.11538461538462,1.10655737704918,1.08333333333333,1.15084410538956,1.16666666666667,1.14186851211073,1.2
"Stamford, CT",57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,1.31578947368421,1.31578947368421,1.27450980392157,1.26262626262626,1.30208333333333,1.30208333333333,1.31276088252832,1.35375134711099,1.37414169787765,1.38888888888889,1.30717478128566,1.33796296296296,1.30338124795818,1.25,1.25223613595707,1.24571428571429,1.36869118905047,1.36363636363636,1.36709736963544,1.35,1.27777777777778,1.26588465298143,1.30208333333333,1.33333333333333,1.46474233529028,1.46551724137931,1.403125,1.47058823529412,1.52424242424242,1.38888888888889,1.35593220338983,1.41190476190476,1.33333333333333,1.36363636363636,1.41106719367589,1.4,1.45454545454545,1.51010101010101,1.46153846153846,1.5,1.42372881355932,1.38955470331309,1.27941176470588,1.25739644970414,1.3262599469496,1.26466988632813,1.25062562562563,1.25369822485207,1.24434389140271,1.31818181818182,1.28278809313292,1.33333333333333,1.31667792032411,1.38319672131148,1.31818181818182,1.20192307692308,1.30104166666667,1.395,1.34572266298724,1.35649444910143,1.35705669481303,1.30255681818182,1.34179438058748,1.3,1.24282982791587,1.26050420168067,1.27536205085217
"Albuquerque, NM",58,,,,,,,,,,,,,,,,,,,,0.905333333333333,0.916666666666667,0.866666666666667,0.84,0.808621933621934,0.780833333333333,0.775,0.777777777777778,0.804761904761905,0.859145527369826,0.861148197596796,0.859145527369826,0.801971326164875,0.846153846153846,0.86875,0.874335891381346,0.865048715091196,0.880281690140845,0.871889526934646,0.846407120631015,0.905934343434343,0.828571428571429,0.8125,0.78125,0.785870243293824,0.802083333333333,0.793333333333333,0.793333333333333,0.799393939393939,0.772727272727273,0.766666666666667,0.771103896103896,0.780625,0.771103896103896,0.79,0.790833333333333,0.814814814814815,0.78125,0.772727272727273,0.795,0.795,0.783482142857143,0.814814814814815,0.823013768921577,0.8136256432247,0.8136256432247,0.814814814814815,0.846153846153846,0.833333333333333,0.848806431663575,0.848050268244286,0.847272727272727,0.846660395108184,0.833333333333333,0.822538860103627,0.877640845070423,0.886752136752137,0.906874013973406,0.856115107913669,0.835385878489327,0.889090909090909,0.902608695652174,0.940092383107089,0.9175,0.904761904761905,0.916666666666667,0.899751861042184,0.900694444444444,0.916666666666667,0.916470588235294,0.908325,0.898721405228758,0.913838812301166,0.962052653229124,0.937290829986613,0.971662571662572,0.93520749665328,0.95,0.96,0.925,0.923076923076923,0.918199554069119,0.925,0.935416666666667,0.944272445820433,0.930952380952381,0.978,1,1,1
"Albany, NY",59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.932347388294525,0.891812865497076,0.904166666666667,0.893928571428571,0.875912408759124,0.744786494538232,0.865384615384615,0.862037037037037,0.85,0.781749414020882,0.813826891671203,0.800641025641026,0.8,0.842307692307692,0.809659090909091,0.775785644411837,0.727272727272727,0.659013605442177,0.699300699300699
"Omaha, NE",60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.772222222222222,0.819587628865979,0.805208995045102,0.819587628865979,0.825,0.824264705882353,0.856696428571428,0.784648676171079,0.849056603773585,0.857142857142857,0.833333333333333,0.825,0.849056603773585,0.899378881987578,0.991666666666667,1.03340277777778,0.94949494949495,0.975276123581208,0.982987987987988,0.898648648648649,0.908630952380952,0.86875,0.850515463917526,0.869043071654373,0.908333333333333,0.9,0.9,0.857142857142857,0.909920634920635,0.889830508474576,0.902777777777778,0.920758928571429,0.895,0.892857142857143,0.892857142857143,0.909514925373134,0.863636363636364,0.851136363636364,0.833333333333333,0.872767857142857,0.899206349206349,0.892857142857143,0.921428571428571,0.905934600588368,0.875
"New Haven, CT",61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.975134312746636,0.934579439252336,0.905771239554318,0.910714285714286,0.888888888888889,0.786713286713287,0.802247451343837,0.803212851405622,0.85,0.869565217391304,0.85,0.845070422535211,0.81945440307942,0.784093449586407,0.770636633396277,0.766563944530046,0.728219696969697,0.725955204216074,0.744801482326769,0.772727272727273,0.81996322261809,0.855777846705266,0.8875,0.882352941176471,0.966666666666667,0.845070422535211,0.882352941176471,0.85,0.836181893515641,0.828075579862941,0.846153846153846,0.87463556851312,0.909090909090909,0.903901046622265,0.830258302583026,0.83955223880597,0.784339242279408,0.782802571789505,0.784313725490196,0.799573560767591,0.749063670411985,0.772311212814645,0.832096933728981,0.867199480948449,0.885347498893316,0.917517006802721,0.892756680731364,0.89831223628692,0.822199383350462,0.8,0.81656033071271,0.815956482320943,0.81656033071271,0.892857142857143,0.928571428571429,0.928571428571429,0.905292479108635,0.888888888888889,0.834203201113431,0.800241425241425,0.85,0.837719298245614
"Bakersfield, CA",62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.882789317507418,0.864092746224208,0.870833333333333,0.846153846153846,0.844044811320755,0.830815709969788,0.830952380952381,0.84375,0.85427135678392,0.855614973262032,0.864864864864865,0.868055555555556,0.867361111111111,0.871875,0.90321452466395,0.93167701863354,0.912361819727891,0.896860986547085,0.908712121212121,0.875979305247598,0.882352941176471,0.9375,0.915854978354978,0.9375,0.891025641025641,0.888888888888889,0.887021475256769
"Knoxville, TN",63,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.682608695652174,0.675262368815592,0.698523698523699,0.695238095238095,0.675,0.647368421052632,0.679411524148366,0.704347826086957,0.678947368421053,0.71,0.708333333333333,0.724719995451703,0.651726226529376,0.650452488687783,0.697544642857143,0.697544642857143,0.730574980574981,0.8375,0.831866197183099,0.831866197183099,0.805,0.805,0.75,0.669642857142857,0.666666666666667,0.756302521008403,0.82013769363167,0.864571428571429,0.880004795013186,0.790697674418605,0.75,0.724137931034483,0.756302521008403,0.725446428571429,0.713114754098361,0.705915178571429,0.673983134920635,0.673983134920635,0.67581507034632,0.713112064613831,0.722263850328117,0.708088235294118,0.719081272084806,0.735294117647059,0.691326530612245,0.686904761904762,0.6625,0.724137931034483,0.726693802521008,0.766146370829033,0.747093023255814,0.724137931034483,0.739130434782609,0.731561986207526,0.753348214285714,0.787878787878788,0.829081632653061,0.785714285714286,0.802364864864865,0.813953488372093,0.805119735755574,0.803571428571429,0.75,0.793659420289855,0.842105263157895,0.817606872294372,0.838084795321637,0.861514136904762,0.844302398989899,0.825394736842105,0.842391304347826,0.8830220713073,0.878947368421053,0.878947368421053,0.878947368421053,0.878947368421053,0.826086956521739,0.848684210526316,0.821052631578947,0.821052631578947,0.770526960784314,0.875
"Greenville, SC",64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.889756944444444,0.878312070657507,0.82089552238806,0.880681818181818,0.82089552238806,0.925462650839703,0.912376033057851,0.843558282208589,0.939676896207585,0.9765625,0.833333333333333,0.834621329211746,0.833333333333333,0.858974358974359,0.770833333333333,0.818181818181818,0.916666666666667,0.963946300946494,0.899891939818791,0.89,0.888412162162162,0.922252747252747,0.818181818181818,0.824368686868687,0.823232323232323,0.842307692307692,0.852272727272727,0.829166666666667,0.829166666666667,0.891835539012958,0.880410858400587,0.875
"Ventura, CA",65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86729893652376,1.86703776539385,1.83375179340029,1.6,1.87793427230047,1.81582666038625,1.83837413697802,1.9,1.86697782963827,1.75882352941176,1.71943861519241,1.88144329896907,1.72198463991942,1.62377080181543,1.72666666666667,1.84921911267325,1.83823529411765,1.80673575129534,1.66666666666667,1.48484848484848,1.62731481481481,1.65469107551487,1.81159420289855,1.81831735266604,1.99543650793651
"Allentown, PA",66,,,,,,,,,,,,,,,,,,,,0.893425393172229,0.863537249995495,0.9,0.944444444444444,0.917002668630986,0.917002668630986,0.964696223316913,0.974025974025974,0.969604863221885,1,0.887878787878788,0.875,0.931040443005667,0.911985759493671,0.901400862068966,0.90625,0.875,0.888888888888889,0.890909090909091,0.933333333333333,0.88812865497076,0.875,0.932291666666667,0.9375,0.95,0.95415133998949,0.96,0.944755017709563,0.9,0.90625,0.915384615384615,0.923076923076923,0.911764705882353,0.925462962962963,0.912740384615385,0.948318713450292,0.95,0.925925925925926,0.922962962962963,0.991666666666667,1,0.978333333333333,0.900625,0.90625,0.90625,0.940972222222222,0.944444444444444,0.901639344262295,1.00245426829268,0.96875,1,0.972470238095238,0.95,0.975,0.984375,0.865409482758621,0.992857142857143,1,1.02083333333333,1.04194078947368,1.15833333333333,1.05263157894737,1.09375,1.08333333333333,1.05,1.08131868131868,1.07619047619048,1.07916666666667,1.07142857142857,1.125,1.12220149253731,1.08333333333333,1.2,1.19642147117296,1.16033755274262,1.18303571428571,1.15833333333333,1.08333333333333,1.0625,1.06428571428571,1.07738095238095,1.1,1.04106454720617,1.12372448979592,1.07225274725275,1.09375,1.16221719457014,1.17058823529412,1.10277777777778,1.10212014134276
"El Paso, TX",67,,,,,,,,,,0.692434625409905,0.707565905613746,0.665529010238908,0.656077348066298,0.635101921138469,0.635101921138469,0.707226312419974,0.683229813664596,0.707677738927739,0.710227272727273,0.705128205128205,0.708529087012059,0.763056491504767,0.730880726765451,0.715859030837004,0.709821428571429,0.725806451612903,0.712256493506493,0.751072961373391,0.767045454545455,0.719528190373941,0.73934862996394,0.752096195481704,0.751072961373391,0.753348214285714,0.75382927955665,0.712589073634204,0.728952772073922,0.721336370539104,0.751445086705202,0.725138121546961,0.722079589216945,0.722496166096496,0.723870056497175,0.743430305862145,0.755555555555556,0.75,0.75,0.751476330310755,0.753920386007238,0.751445086705202,0.759612251547735,0.736893761365711,0.735671344400452,0.747292418772563,0.725646123260437,0.745,0.738095238095238,0.766666666666667,0.76350532787953,0.767341927562922,0.771749298409729,0.75944087979463,0.765794511805999,0.761032650589142,0.767040535222353,0.756081525312295,0.751720087858433,0.748502994011976,0.723145983850404,0.735895339329518,0.774117626624053,0.747359296887599,0.758514644387128,0.748116254036599,0.739130434782609,0.778301886792453,0.745833333333333,0.739130434782609,0.735294117647059,0.754147812971342,0.755287009063444,0.751340047903411,0.785714285714286,0.783668178478838,0.760529726534077,0.735586597407459,0.746084199779694,0.747756729810568,0.748318085844927,0.752823086574655,0.787891328691757,0.777027027027027,0.779816513761468,0.784095475367677,0.776716074470311,0.764215942787371,0.783354860127708,0.767754318618042,0.753009768513361,0.754485363550519,0.753286147623862,0.768025078369906,0.78093112244898,0.779638870843914,0.770359501100514,0.781659388646288,0.795563046120016,0.795227272727273,0.794979693845673
"Baton Rouge, LA",68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.925,0.902777777777778,0.904545454545455,0.810677618069815,0.82135523613963,0.775252525252525,0.772727272727273,0.82135523613963,0.812233159392789,0.7975,0.85,0.82089552238806,0.888888888888889,0.944137723348725,0.912200684150513,0.912200684150513,0.905364411707695,0.916666666666667,0.908355795148248,0.883928571428571,0.87830604534005,0.875,0.831413449564135,0.889081907409016,0.896551724137931,0.896551724137931,0.913737419257924,0.930059523809524,0.905118601747815
"Dayton, OH",69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.669958108916816,0.611111111111111,0.635714285714286,0.692771084337349,0.625,0.672834314550042,0.687820512820513,0.709,0.6875,0.661111111111111,0.632911392405063,0.623172514619883,0.692307692307692,0.642425550280535,0.657596371882086,0.655979393994734,0.635900140646976,0.662131519274376,0.670833333333333,0.65,0.65,0.638888888888889,0.638787510137875,0.690972222222222,0.617647058823529,0.65,0.6,0.617647058823529,0.612700534759358,0.617647058823529,0.598192771084337,0.591686320754717,0.617647058823529,0.687129446640316,0.687595907928389,0.70625
"Columbia, SC",70,,,,,,,,,,,,,,,,,,,,,,,,,0.610277777777778,0.615,0.605555555555556,0.615,0.633162439287642,0.650428540033697,0.640625,0.619266055045872,0.602651515151515,0.63292113323124,0.683014354066986,0.71875,0.688475376688101,0.738912821008208,0.757698541329011,0.715950288041319,0.620833333333333,0.60625814863103,0.60625814863103,0.622844827586207,0.715950288041319,0.740464743589744,0.729700854700855,0.753968253968254,0.641616143548417,0.681818181818182,0.635838150289017,0.635838150289017,0.615384615384615,0.628942636738008,0.653798256537983,0.65,0.661111111111111,0.636302294197031,0.625390869293308,0.625,0.622448979591837,0.661530612244898,0.626736111111111,0.643382352941177,0.633172286184211,0.678655800949305,0.695740469208211,0.694334823423215,0.729001584786054,0.713150576082638,0.726529945582459,0.681818181818182,0.753856942496494,0.705769230769231,0.737179487179487,0.735294117647059,0.753594632016189,0.707142857142857,0.73435085007728,0.738085205992509,0.751091703056769,0.715950288041319,0.671140939597315,0.690628815628816,0.690628815628816,0.778957918721698,0.739503816793893,0.713150576082638,0.635386119257087,0.6125,0.625,0.5859375,0.622289343246592,0.628409090909091,0.679933481152993,0.722752385735811,0.681818181818182,0.681818181818182,0.681818181818182,0.666666666666667,0.666666666666667,0.666666666666667,0.646258503401361,0.649350649350649,0.666666666666667,0.67074865381275,0.719029850746269,0.694722222222222,0.678409090909091
