SizeRank,RegionID,RegionName,RegionType,StateName,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
13,59,Washington,State,WA,25836,28017,28746,29178,32131,33546,35177,36658,36046,34786,32328,29926,27118,27402,28330,31125,34048,36518,37555,38396,37760,35704,31944,28099,25004,24619,24988,26220,29279,30638,31267,31662,30162,27940,25048,21362,18630,18611,19650,21638,23989,26373,28205,29320,28471,26314,22598,18968,16513,15799,15224,16142,18441,20519,21803,22840,22352,21722,19107,15395,12967,12308,12820,14297,16890,19400,21256,23393,24558,24078,21696,18141,15515,14522,14706,15854,17898,20609,20941,20442,20208
14,26,Massachusetts,State,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27788,28225,28231,28495,28200,25920,21437,17918,17215,18489,19876,21358,22875,22620,22288,22400,22131,19966,16661,14806,14422,14683,15590,17634,18492,18378,18152,18916,18660,16945,14028,11859,11855,12374,13583,15969,17631,17789,18127,19701,20055,18702,15442,13539,13244,13765,15014,16975,18646,18088,17751,18536
15,8,Arizona,State,AZ,32677,33672,34412,33691,32686,31618,31162,31972,33077,35764,38167,38053,37581,39956,40871,41249,40953,40111,40341,39060,38718,39442,39856,38693,37510,38340,38136,37291,35736,35036,34462,33890,34145,36864,37215,33399,32450,33852,34106,34282,36664,35963,35022,34511,33910,34590,35044,33955,32912,33850,33749,33160,32240,30814,29769,28894,28858,29800,30382,29118,28376,29811,29607,29604,29111,28300,27456,26872,27340,28319,29366,27846,28149,29932,29864,29948,28479,27023,24999,23386,23228
16,53,Tennessee,State,TN,47381,49224,50931,52368,54563,54792,54337,54239,53574,52691,51240,49404,44965,45116,46146,48471,50202,51781,52240,51787,50878,49129,47392,44558,41958,42124,35844,29522,33258,35e3,36088,37310,36601,35705,34080,31961,29526,30188,30771,32472,32854,33992,34691,34884,34576,33832,32269,30130,28175,28611,27800,27575,27421,27968,29894,30265,30190,29844,29526,28002,25925,25786,26279,26978,28324,29674,30080,30540,31036,30760,30268,28021,26585,26474,26180,26299,26871,27732,28410,28134,28724
17,32,Missouri,State,MO,36653,37886,39045,39902,41384,42362,42126,42690,42247,42224,41080,38600,34890,35519,36456,38877,40446,41792,42249,42671,41934,41144,39360,36358,33602,32504,30830,34368,36047,37396,39332,39188,38466,37690,35140,32766,29578,29604,30532,31841,32180,33540,33928,33754,32852,32224,30784,28806,26806,26871,26742,27841,28361,29144,29881,29731,29562,28827,27479,25676,23384,23342,24462,25088,26249,27425,27822,28103,27974,26938,25882,23239,21229,20414,20306,20826,21063,22793,23345,23700,23679
18,27,Maryland,State,MD,19470,20198,20712,21396,22566,22473,22443,22492,22652,23333,22986,21690,20225,20331,21360,24550,26439,29157,29795,29545,29497,29466,28399,25817,24602,24292,24184,26949,29022,30291,30346,30193,30536,30261,28702,25269,23216,22772,23995,25580,26553,27812,27953,27593,27156,26674,24256,21915,20365,19834,19918,20984,21929,22500,22664,22504,22726,22454,24680,22880,20534,20826,22181,23956,23792,22400,22263,22131,22468,22356,21258,18662,16887,16196,16744,18186,19294,20507,20176,19754,20118
19,60,Wisconsin,State,WI,34038,34929,36378,38346,40575,42384,42343,43389,42839,41396,38738,35338,32266,33200,34664,37647,41364,43378,44859,45330,44526,42669,39988,35488,32454,33407,35014,32129,38025,40271,40120,39854,38559,36332,32858,29965,27162,27827,29920,32308,34424,37425,38122,37980,36989,34853,31158,27289,24158,25337,26636,28384,30274,31546,31648,31359,30528,28986,25939,22440,19956,20290,21977,23332,25075,26560,27326,27844,27430,26962,24737,21046,19186,19501,19976,21889,24297,26089,26781,27188,26854
20,31,Minnesota,State,MN,16907,17691,18651,19434,21113,22794,23601,24402,24132,23767,22044,19910,17786,17958,18872,21114,23158,26838,28167,29318,29218,30600,26866,22967,20031,20267,21473,22595,25245,26046,26260,27011,28220,26664,24490,21145,18528,18728,21034,22975,24763,26775,27270,27257,26578,25346,20900,17844,15764,16103,16797,18033,19474,20756,21154,21471,21984,21197,18497,15318,13307,13586,14610,15526,17452,19498,20359,21080,21256,20624,18217,15180,13028,12892,13164,14868,16693,19016,19456,20159,20324
21,10,Colorado,State,CO,27997,29550,30986,31904,33444,35333,36497,36668,34712,33346,31992,28509,25793,26002,26906,28751,30832,33046,34888,34480,33542,31023,27720,24353,21892,22400,22928,21907,24360,26953,28755,29232,28840,27854,25580,21984,18132,17698,18522,2e4,21711,25571,27850,28328,27556,26095,23475,20708,18652,19071,18979,19150,21638,23246,23346,23538,22964,21353,18851,16430,15015,15144,16266,17396,19337,21302,22350,23236,23554,23565,22294,19184,17502,17737,18067,19460,20151,22170,23446,23394,23396
22,4,Alabama,State,AL,27251,28359,29584,29901,30612,31604,30974,30802,28380,26657,26740,26323,24896,25144,26200,27531,28542,28960,29246,31020,31164,30665,29974,28724,27668,28306,29354,28822,30766,31752,31995,32220,31124,30181,29140,27656,26150,26668,27364,28387,29208,29960,30208,29968,30424,29569,28891,27530,26365,26941,26776,26678,27953,27644,28063,27838,27685,26182,25675,24496,23343,23398,24030,24542,24964,25177,25170,25164,24965,24656,23832,21654,20739,20809,20824,21104,21499,22e3,21884,21537,21632
23,51,South Carolina,State,SC,37753,39162,41358,42437,43058,43810,42713,42606,42063,41868,41044,40085,38051,39664,40465,42374,43470,43706,43468,42243,42708,41892,41270,39593,37780,38118,36468,34357,34048,36447,37229,37884,37475,36476,33850,33476,31596,32086,32500,33190,33393,34083,34235,33813,33276,32719,31770,30900,29959,30836,31107,31214,31079,30640,30733,30445,29958,29660,29149,27862,26733,26989,27575,27810,28053,28134,27846,27734,27748,27769,27619,26072,25442,25920,26618,27340,27796,27552,27350,28264,27840
24,25,Louisiana,State,LA,13341,14241,14186,14107,14383,14598,14351,14744,14628,14507,14519,14010,13270,13323,13466,13874,14668,14678,14702,14753,14488,14267,14104,13703,12844,13114,13358,13650,14254,14578,14598,14916,14681,14395,13750,13155,12306,12790,13282,13561,13996,14541,15431,15565,15066,15005,14977,14209,13862,15320,15624,15880,17907,18314,18804,18988,19403,19349,19286,18806,18320,18478,19330,19718,20283,20832,20863,20640,20584,20661,20560,19359,18689,18992,19004,19546,19673,20356,20251,20310,20109
25,24,Kentucky,State,KY,21532,21968,23390,24050,24983,25298,24867,24980,24734,24493,23591,22212,20984,20670,20818,21989,22877,23963,24624,24894,24774,24345,23356,22100,20670,20376,20028,19677,20532,21812,22110,22094,21867,21242,20014,18460,17105,16781,17081,17770,18219,18781,19344,19474,19238,18798,17978,16687,15622,15972,15765,15564,15661,16502,16672,17019,17026,16962,16623,15326,14053,13876,14114,14396,15354,16142,16592,16922,17010,17034,16746,15128,14188,13696,13540,13684,13755,14502,14829,15116,15182
26,46,Oregon,State,OR,16509,17407,17986,18725,20077,20840,21449,23004,22795,21752,20173,18714,16578,16661,17220,18765,21520,23042,23713,24251,23889,22514,20205,17982,16176,15898,16598,16830,18824,19956,20549,21148,20747,18890,17222,15059,12982,12757,13008,13878,15046,16595,17916,18689,18170,17043,15510,13842,12302,11756,11719,12284,13338,15134,16458,17500,17262,16353,14576,12762,11324,11172,11906,12842,14341,15915,16874,17765,17830,17159,15823,13836,12486,12290,12390,13146,14298,16186,16635,16796,16462
27,45,Oklahoma,State,OK,18651,18819,19012,19464,19866,20250,20310,20324,19972,19526,19076,18181,17200,17233,17278,17744,18662,19077,19468,19598,19733,19199,18521,17281,16758,16997,17061,16227,17559,17772,18396,18912,19100,19086,18896,18169,16693,17588,18453,19526,19092,19655,20314,20509,20258,19915,18975,18338,17566,18758,19866,19544,19301,20067,20703,20816,20662,20134,19875,18869,17960,17630,17944,18224,18832,19581,19762,19841,19712,19286,18866,17224,15958,15410,15118,15486,15611,16142,16159,16294,15892
28,11,Connecticut,State,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14231,15160,16232,17890,18814,19002,18664,18827,18341,16950,15057,13509,13550,14138,15506,16647,17789,17760,17388,17240
29,19,Iowa,State,IA,13991,15057,15316,15898,16516,16902,16891,17092,16886,16561,16043,14820,13636,13670,13774,14858,15636,16256,16505,16572,16691,16421,15646,14346,13495,13466,13609,10969,12246,12902,12978,13334,13550,13570,12898,12015,11024,10886,11112,11968,12405,13040,13472,13800,13717,13668,13333,12812,12040,12176,12155,12392,12426,12516,12711,12806,13784,13562,12800,12021,11259,11190,11690,12174,12657,13264,13366,14023,14159,14012,13694,12338,11549,11252,11128,11792,12227,12910,13340,13504,13907
30,34,Mississippi,State,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10115,10474,10695,10952,10770,11498,11978,11427,10690,10854,11214,11773,12066,12368,12620,12704,13156,13196,12966,12602,12158,12632,12328,12282,12143,11946,12298,12407,12131,11878,12153,11408,11055,11008,11210,11625,12017,12114,12316,12125,12638,12461,12214,11183,10818,11106,11354,11494,11529,11918,11853,11715,11577
31,6,Arkansas,State,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15424,15872,17697,17806,17189,17267,17136,16345,15888,16488,17125,17523,17882,18592,19080,18963,18508,18292,17702,17055,16318,16645,16606,16728,15357,16330,16746,17078,16908,16302,16004,15502,14617,14724,14866,15586,16071,16598,16912,16970,16953,16881,16622,15114,14663,14820,14990,15052,14367,14705,14656,14686,15370
32,23,Kansas,State,KS,10941,11402,11671,11947,12331,12499,12565,12508,12322,12153,11712,11021,10200,10150,10463,11204,12362,12653,12786,12407,12315,12284,11670,10496,9956,10098,10316,9437,10704,11164,11375,11548,11362,11334,10899,10100,9035,9138,9635,10262,10750,11405,11763,11778,11724,11460,11046,10206,9666,10001,10167,10842,10977,11265,11381,11330,11492,11396,10914,10175,9454,9294,9704,10084,10573,11123,11108,11247,11177,10670,10430,9545,8964,8726,8672,9042,9113,9276,9490,9516,9458
33,55,Utah,State,UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9634,9905,9907,10071,10084,9900,9203,8235,7396,7964,8264,8514,8485,9888,10484,10820,10546,10098,9401,8638,7762,7734,7638,7340,7505,8092,8293,8861,9128,8966,8347,7600,7107,7315,7799,8186,9164,9930,10418,11130,11316,11642,11411,10374,9690,9574,9614,9892,10548,11109,11332,11554,11440
34,42,Nevada,State,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8570,8986,9975,10708,11792,12751,13056,12536,12540,12934,12910,13240,13779,14417,14570,14476,14344
35,41,New Mexico,State,NM,11336,11716,12296,12704,13268,13804,14325,14786,14460,14166,13642,13016,12262,12290,12396,13301,13976,14522,14865,15050,14722,14352,13641,12459,11788,11644,11718,12136,12801,12726,13377,13236,12717,12230,12288,11864,11068,11092,11180,11716,12144,12590,13053,13180,12966,12502,11978,11326,10740,10704,10617,10956,11378,11940,12130,12217,12124,11773,11293,10580,9810,9394,9415,9500,9862,10297,10441,10555,10370,10085,9490,8648,7844,7700,7550,7685,8021,8491,8544,8504,8365
