SizeRank,RegionID,RegionName,RegionType,StateName,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
31,6,Arkansas,State,AR,22749,22462,22397,23044,24144,24679,24318,23409,23130,23664,23721,23626,23648,23319,23278,23565,23499,23335,23200,22977,23149,23406,23336,23242,23336,23447,23423,22147,19510,18861,19970,20666,20870,20362,20162,20295,20225,20690,21114,20965,21501,22189,22014,21711,21284,20946,20885,20633,20479,20621,20423,20327,20499,19764,19242,19495,19224,18925,19070,19109,18928,18493,18189,18698,19540,19629,19427,19473,19462,19434,19129,18863,18848,18590,18243,18076,17964,17804,17430,17092,17242
32,23,Kansas,State,KS,15423,15232,14966,14916,14995,14867,14576,14248,14262,14473,14392,14356,14323,14026,14022,14391,14559,14707,14669,14245,14246,14414,14276,14117,14016,13995,14132,13986,13291,13166,13565,13716,13667,13393,13389,13489,13274,13381,13586,13357,13511,13863,13866,13965,13841,13678,13730,13543,13551,13984,14171,14036,13876,13512,13361,13544,13474,13445,13563,13544,13517,13360,13088,13148,13489,13409,13155,13209,13197,13020,12767,12742,12794,12411,11934,11764,11595,11409,11309,11073,10996
33,55,Utah,State,UT,14758,14613,14672,15305,16105,16313,16187,16149,16364,16805,17011,17069,17220,17230,17689,18441,18559,18690,18753,18241,17966,17758,17352,17120,16912,16740,16424,15168,13285,12380,12124,11887,11867,11642,11609,11666,11490,11748,12035,11709,11707,12196,12477,12588,12238,11856,11923,11712,11349,11308,10972,10467,10379,10266,10354,10836,10938,10791,10845,11092,11466,11564,11573,12201,13087,13252,13321,13826,14297,14629,14448,14280,14437,14278,14099,14523,15064,15138,14903,14410,14108
34,42,Nevada,State,NV,15684,15023,14472,14726,15261,15310,15264,15458,16098,16983,17407,17608,17663,17519,17894,18440,18446,18585,18590,18170,18346,18611,18566,18624,18783,18887,18867,18967,18745,18805,19148,19217,19250,18844,18724,18770,18436,18768,19187,18869,19546,21054,22139,23109,22922,22094,21727,21024,20384,20634,20977,20974,20914,20134,19192,18654,17800,17112,16860,16672,16707,16661,16390,15646,14317,13441,13635,14414,15234,15867,16193,16866,17717,17788,17633,18326,19254,19436,19018,18169,17518
35,41,New Mexico,State,NM,15296,15307,15336,15460,15719,15887,16099,16129,16074,16209,15972,15775,15878,15722,15720,16028,16132,16221,16239,16003,16005,16002,15720,15421,15179,15050,15193,15309,14865,14579,14554,14370,14160,13939,14264,14662,14556,14673,14799,14491,14416,14512,14400,14392,14273,14122,14114,13958,13924,14164,14173,13928,13790,13536,13379,13505,13461,13376,13332,13241,13186,12896,12467,12260,12225,12010,11753,11750,11728,11544,11217,11054,11032,10724,10273,10030,9941,9882,9705,9376,9258
36,61,West Virginia,State,WV,9761,9742,9648,9659,9798,9822,9800,9615,9398,9469,9544,9661,9828,9793,9885,10112,10159,10292,10426,10384,10447,10507,10484,10447,10358,10325,10586,10795,10529,10471,10581,10669,10942,10891,10752,10714,10525,10576,10732,10661,10831,11162,11345,11489,11426,11333,11394,11450,11596,11803,11716,11441,11297,11082,10979,11081,11035,11122,11345,11360,11351,11307,11145,11114,11185,11016,10785,10723,10677,10579,10376,10277,10296,10131,9887,9834,9855,9771,9626,9440,9382
37,38,Nebraska,State,NE,7218,7213,7193,7276,7430,7645,7942,7945,7888,7988,7977,7953,7908,7769,7822,7993,7916,7833,7785,7587,7558,7623,7555,7505,7476,7457,7468,7206,6779,6860,7066,7058,7062,6952,6968,7025,6937,7035,7183,7121,7154,7149,6967,6939,6830,6682,6649,6523,6535,6769,6763,6492,6287,6036,5873,5931,5916,5940,6095,6243,6335,6269,6202,6412,6717,6726,6673,6775,6866,6895,6739,6618,6594,6331,6070,6215,6458,6442,6331,6281,6311
38,20,Idaho,State,ID,15042,14779,14517,14605,14840,14912,14940,14902,15044,15401,15483,15566,15622,15309,15350,15765,15879,15996,16008,15837,16017,15999,15719,15588,15448,15469,15669,15454,14822,14726,14726,14396,14085,13602,13328,13213,13024,13220,13408,13245,13367,13519,13443,13404,13016,12618,12456,12011,11619,11686,11526,11022,10751,10492,10450,10694,10625,10542,10614,10570,10510,10272,9909,9824,9781,9350,8971,8886,8818,8853,8838,8862,8956,8712,8384,8380,8372,8219,8059,7818,7770
39,18,Hawaii,State,HI,7776,7554,7277,7318,7608,7582,7273,7076,7029,7038,6959,6972,7152,7177,7218,7293,7139,7081,7162,7202,7392,7511,7405,7364,7382,7420,7808,8289,8468,8904,9321,9246,9107,9038,9354,9691,9443,9347,9457,9292,9267,9278,9173,9269,9293,9205,9123,8798,8585,8732,8600,8183,7932,7699,7617,7741,7715,7677,7661,7605,7705,7763,7701,7716,7746,7678,7690,7783,7856,7943,7910,8e3,8283,8321,8207,8266,8338,8327,8328,8275,8280
40,28,Maine,State,ME,16070,16051,16066,16264,16451,16252,15876,15424,15234,15487,15522,15337,15218,15025,14960,15169,15408,15680,15733,15406,15383,15590,15449,15223,15132,15086,15406,15655,15264,15249,15844,16665,16635,15156,14185,13970,13580,13460,13452,13134,12997,12858,12269,11664,11280,11273,11426,11359,11318,11371,11112,10683,10456,10083,9684,9493,9379,9585,9895,9953,9922,9830,9580,9373,9299,9341,9644,9831,9909,10142,10129,10166,10343,10100,9592,9265,9108,8878,8607,8441,8418
