"Date","RegionName","State","Metro","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-09-30,"Bucks County","PA","Philadelphia-Camden-Wilmington",97,1676,0.002183,0.010433,0.031019,218220
2019-09-30,"El Paso County","CO","Colorado Springs",98,1450,0.003706,0.016602,0.035955,261998
2019-09-30,"Baltimore City","MD","Baltimore-Columbia-Towson",99,1267,-0.001824,-0.000975,-0.019824,214774
2019-09-30,"Lee County","FL","Cape Coral-Fort Myers",100,1538,-0.003374,-0.004364,0.017153,390430
2019-09-30,"Tulsa County","OK","Tulsa",101,906,0.000441,0.010245,0.022139,230127
2019-09-30,"Kent County","MI","Grand Rapids-Wyoming",102,1340,0.00364,0.014974,0.024429,198638
2019-09-30,"Polk County","FL","Lakeland-Winter Haven",103,1202,0.003769,0.013581,0.048195,228025
2019-09-30,"District of Columbia","DC","Washington-Arlington-Alexandria",104,2358,0.003252,0.009821,0.01465,219607
2019-09-30,"Denver County","CO","Denver-Aurora-Lakewood",105,1863,0.001045,0.013963,0.028628,252338
2019-09-30,"Fort Bend County","TX","Houston-The Woodlands-Sugar Land",106,1598,0.003229,0.007792,0.011941,258574
2019-09-30,"Ocean County","NJ","New York-Newark-Jersey City",107,1756,0.003314,0.018354,0.015346,271854
2019-09-30,"Arapahoe County","CO","Denver-Aurora-Lakewood",108,1694,0.000925,0.006302,0.010439,220886
2019-09-30,"Delaware County","PA","Philadelphia-Camden-Wilmington",109,1364,0.010517,0.025325,0.032331,190705
2019-09-30,"Bristol County","MA","Providence-Warwick",110,1397,0.011089,0.020028,0.01467,178133
2019-09-30,"Johnson County","KS","Kansas City",111,1307,-0.000787,0.006606,0.034623,199497
2019-09-30,"Brevard County","FL","Palm Bay-Melbourne-Titusville",112,1450,0.000599,0.005823,0.038753,268377
2019-09-30,"Summit County","OH","Akron",113,945,-0.000551,-0.004437,0.036264,208958
2019-09-30,"New Castle County","DE","Philadelphia-Camden-Wilmington",114,1288,0.002207,0.006203,0.005192,187374
2019-09-30,"Anne Arundel County","MD","Baltimore-Columbia-Towson",115,1865,0.002796,0.013662,0.018029,201077
2019-09-30,"Union County","NJ","New York-Newark-Jersey City",116,1833,0.00533,0.010232,-0.004829,145443
2019-09-30,"Montgomery County","OH","Dayton",117,891,0.004153,0.027094,0.052072,200818
2019-09-30,"Jefferson County","CO","Denver-Aurora-Lakewood",118,1663,0.002534,0.011863,-0.002568,217781
2019-09-30,"Washington County","OR","Portland-Vancouver-Hillsboro",119,1582,-0.000502,-0.005705,-0.030046,154753
2019-09-30,"Lancaster County","PA","Lancaster",120,1183,0.005387,0.018028,0.018511,187219
2019-09-30,"Douglas County","NE","Omaha-Council Bluffs",121,1162,-0.001809,0.004364,-0.007726,186636
2019-09-30,"Utah County","UT","Provo-Orem",122,1296,0.00312,0.008765,0.022152,162225
2019-09-30,"Kane County","IL","Chicago-Naperville-Elgin",123,1487,0.000801,0.006078,0.020329,163225
2019-09-30,"Stanislaus County","CA","Modesto",124,1524,0.006049,0.030885,0.064248,150912
2019-09-30,"Camden County","NJ","Philadelphia-Camden-Wilmington",125,1397,0.000696,-0.001505,0.014724,169395
2019-09-30,"Ramsey County","MN","Minneapolis-St. Paul-Bloomington",126,1378,0.001055,0.009845,0.021827,161325
2019-09-30,"Passaic County","NJ","New York-Newark-Jersey City",127,1761,-0.000696,0.003031,-0.003129,109237
2019-09-30,"Chester County","PA","Philadelphia-Camden-Wilmington",128,1730,0.005578,0.019985,0.034007,179473
