"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-09-30,"Pleasant Valley","CA","San Francisco-Oakland-Hayward","Contra Costa County","Pleasant Hill",13365,3269,0.008987,0.023989,0.019733,318
2019-09-30,"Robinhood Trails","NC","Winston-Salem","Forsyth County","Winston-Salem",13366,1809,0.002419,0.006865,0.04951,185
2019-09-30,"Felton Gables","CA","San Francisco-Oakland-Hayward","San Mateo County","Menlo Park",13367,8533,0.021971,0.036925,0.01745,116
2019-09-30,"Evans Spring","VA","Roanoke","Roanoke City","Roanoke",13368,853,0.007333,0.021639,0.018035,13
2019-09-30,"Pine Forest","CA","San Francisco-Oakland-Hayward","San Mateo County","Menlo Park",13369,4570,0.038047,0.080988,0.111568,160
2019-09-30,"Prospect Park","MI","Ann Arbor","Washtenaw County","Ypsilanti",13370,1501,0.017146,0.048119,-0.01467,195
2019-09-30,"South Pratt","AL","Birmingham-Hoover","Jefferson County","Birmingham",13371,681,-0.008935,-0.016318,-0.109646,260
2019-09-30,"Las Mariposas","TX","Dallas-Fort Worth-Arlington","Dallas County","Garland",13372,1437,0.017065,0.007731,0.03695,228
2019-09-30,"Camelia","AL","Mobile","Mobile County","Semmes",13373,936,0.014002,0.025261,0.029088,134
2019-09-30,"Tierra Ranchos","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Gilbert",13374,2317,0.000815,0.002204,0.026399,15
2019-09-30,"South Brambleton","VA","Virginia Beach-Norfolk-Newport News","Norfolk City","Norfolk",13375,1157,0.0042,0.012608,-0.018904,8
2019-09-30,"Leavell Woods","MS","Jackson","Hinds County","Jackson",13376,799,0.001231,0.024701,0.041578,92
2019-09-30,"Glen Oaks Estates","FL","North Port-Sarasota-Bradenton","Sarasota County","Sarasota",13377,1558,-0.003197,0.004399,-0.029807,219
2019-09-30,"Strong","IN","Elkhart-Goshen","Elkhart County","Elkhart",13378,887,-0.00824,-0.014062,-0.068424,256
2019-09-30,"Hacienda Village","IN","Fort Wayne","Allen County","Fort Wayne",13379,1714,0.043502,0.139558,0.065475,199
2019-09-30,"Grayson Woods","CA","San Francisco-Oakland-Hayward","Contra Costa County","Pleasant Hill",13380,3780,0.000057,0.00455,-0.032997,218
2019-09-30,"Monohan","WA","Seattle-Tacoma-Bellevue","King County","Sammamish",13381,2922,0.006218,0.031307,0.061151,260
2019-09-30,"Cresent","SC","Charleston-North Charleston","Charleston County","Charleston",13382,4504,0.003937,0.080693,0.077852,171
2019-09-30,"American Mile","MA","Boston-Cambridge-Newton","Middlesex County","Concord",13383,2800,0.00341,0.047377,0.157824,111
2019-09-30,"Oak Grove","IA","Iowa City","Johnson County","Iowa City",13384,1211,-0.014805,-0.027171,-0.036812,214
2019-09-30,"Central 2000","KS","Wichita","Sedgwick County","Wichita",13385,701,0.015,0.031385,0.194916,291
2019-09-30,"Winsor Park","FL","Tampa-St. Petersburg-Clearwater","Pinellas County","Clearwater",13386,1766,-0.002999,0.005253,0.058028,143
2019-09-30,"Murray Heights","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County","Nashville",13387,1480,0.003358,-0.002349,0.001588,99
2019-09-30,"Norton Tracts","SD","Sioux Falls","Minnehaha County","Sioux Falls",13388,891,-0.000623,0.009425,-0.072985,238
2019-09-30,"Willow Woods","MI","Detroit-Warren-Dearborn","Wayne County","Livonia",13389,1735,0.017229,0.011268,-0.037915,200
2019-09-30,"Monterey Vista","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Chandler",13390,1529,0.010472,0.036171,0.076867,253
2019-09-30,"Monroe Lynfield","MD","Washington-Arlington-Alexandria","Montgomery County","Rockville",13391,1711,0.00441,0.014592,0.0651,83
2019-09-30,"Mel-Tan Heights","FL","Tampa-St. Petersburg-Clearwater","Pinellas County","Saint Petersburg",13392,1237,0.002729,0.007879,0.044118,152
2019-09-30,"Hop Brook","CT","New Haven-Milford","New Haven County","Waterbury",13393,1350,-0.006525,-0.030216,-0.035357,52
2019-09-30,"Iroquois Garden","IN","Evansville","Vanderburgh County","Evansville",13394,849,-0.002305,0.020106,-0.015624,311
2019-09-30,"Oak Terrace","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County","Greenacres",13395,1365,0.001788,0.000901,-0.003762,361
2019-09-30,"Madison Mills","OH","Columbus","Franklin County","Columbus",13396,1104,-0.007542,-0.013938,0,535
2019-09-30,"Frost farms","TX","Dallas-Fort Worth-Arlington","Dallas County","Desoto",13397,2901,0.000578,0.007229,0,89
2019-09-30,"Riverview","WA","Portland-Vancouver-Hillsboro","Clark County","Vancouver",13398,2631,-0.004606,-0.014268,0.026636,336
2019-09-30,"Heatherridge","OK","Tulsa","Tulsa County","Tulsa",13399,1275,-0.006195,-0.008335,0.015411,184
2019-09-30,"Healy Heights","OR","Portland-Vancouver-Hillsboro","Multnomah County","Portland",13400,3456,-0.01122,-0.020414,-0.071686,132
2019-09-30,"Hibernia Hill","MS","Jackson","Hinds County","Jackson",13401,790,0.009623,0.007575,0.029008,189
2019-09-30,"Lee's Hill","VA","Washington-Arlington-Alexandria","Spotsylvania County","Fredericksburg",13402,1427,-0.001416,0.032034,0.113016,21
2019-09-30,"Racepath","SC","Myrtle Beach-Conway-North Myrtle Beach","Horry County","Conway",13403,1164,0.003331,0.00725,0.187466,242
2019-09-30,"Cross Creek","CO","Denver-Aurora-Lakewood","Arapahoe County","Aurora",13404,1503,-0.002505,-0.029575,-0.022372,588
2019-09-30,"Oakwood","VA","Richmond","Richmond City","Richmond",13405,978,0.00517,0.033994,0.059189,818
2019-09-30,"Highlands of Brentwood","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County","Nashville",13406,1545,0.00361,0.018334,-0.035392,143
2019-09-30,"Lakeland","NC","Hickory-Lenoir-Morganton","Catawba County","Hickory",13407,1262,0.004568,0.038702,0.003998,376
2019-09-30,"Ridgemont","PA","Pittsburgh","Allegheny County","Pittsburgh",13408,1133,0.005903,0.025966,0.072335,234
2019-09-30,"Windsor Ridge","IA","Iowa City","Johnson County","Iowa City",13409,1488,0.001356,0.008648,-0.005805,471
2019-09-30,"East Park","PA","Philadelphia-Camden-Wilmington","Philadelphia County","Philadelphia",13410,1746,-0.010799,-0.009592,0.055894,24
2019-09-30,"Ashlet Forest","NC","Winston-Salem","Forsyth County","Winston-Salem",13411,1291,-0.002012,-0.004998,0.008615,115
2019-09-30,"Bush Mountain","GA","Atlanta-Sandy Springs-Roswell","Fulton County","Atlanta",13412,1250,0.011233,0.026799,0.144005,153
2019-09-30,"Powhite Park","VA","Richmond","Richmond City","Richmond",13413,1504,-0.000843,-0.00873,0.052454,60
2019-09-30,"Butner-Tell","GA","Atlanta-Sandy Springs-Roswell","Fulton County","Atlanta",13414,1190,0.009188,0.035402,0.100319,82
2019-09-30,"Canemah","OR","Portland-Vancouver-Hillsboro","Clackamas County","Oregon City",13415,1929,0.010888,0.031415,0.051475,139
2019-09-30,"Carpenter","TX","El Paso","El Paso County","El Paso",13416,950,-0.011389,0.017277,0.013857,51
2019-09-30,"Verdi Estates","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Torrance",13417,3539,0.00576,0.007198,-0.02355,77
2019-09-30,"Settler's Crossing","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Gilbert",13418,1625,0.007109,0.028776,0.063479,113
2019-09-30,"Rio Del Verde","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Chandler",13419,2047,0.012452,0.042011,0.134758,100
