"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-09-30,"Silver Spring","MD","Washington-Arlington-Alexandria","Montgomery County",72,1843,0.005757,0.016843,0.015483,91217
2019-09-30,"Toledo","OH","Toledo","Lucas County",73,847,0.005692,0.016366,0.02937,106872
2019-09-30,"Anchorage","AK","Anchorage","Anchorage Borough",74,1588,-0.000128,0.005012,0.001359,98647
2019-09-30,"Saint Paul","MN","Minneapolis-St. Paul-Bloomington","Ramsey County",75,1381,0.002301,0.013211,0.018365,82378
2019-09-30,"Naples","FL","Naples-Immokalee-Marco Island","Collier County",76,2771,-0.022407,-0.097332,0.040422,208024
2019-09-30,"Durham","NC","Durham-Chapel Hill","Durham County",77,1291,0.002393,0.018516,0.050545,99690
2019-09-30,"Tallahassee","FL","Tallahassee","Leon County",78,1053,0.000977,0.012618,0.037654,91263
2019-09-30,"Stockton","CA","Stockton-Lodi","San Joaquin County",79,1515,0.009983,0.02935,0.054091,80650
2019-09-30,"Plano","TX","Dallas-Fort Worth-Arlington","Collin County",80,1503,-0.000129,0.000264,-0.003505,96398
2019-09-30,"Newark","NJ","New York-Newark-Jersey City","Essex County",81,1559,0.006405,0.016644,0.020175,40543
2019-09-30,"Henderson","NV","Las Vegas-Henderson-Paradise","Clark County",82,1398,0.006087,0.022634,0.069162,138774
2019-09-30,"Lincoln","NE","Lincoln","Lancaster County",83,1035,-0.001994,0.002566,-0.009852,92124
2019-09-30,"Modesto","CA","Modesto","Stanislaus County",84,1515,0.005632,0.029657,0.060378,75958
2019-09-30,"Reno","NV","Reno","Washoe County",85,1575,0.004779,0.015261,0.042743,96585
2019-09-30,"Spokane","WA","Spokane-Spokane Valley","Spokane County",86,1241,0.004949,0.013927,0.047993,91602
2019-09-30,"Chandler","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",87,1453,0.007817,0.029056,0.068413,105291
2019-09-30,"Lubbock","TX","Lubbock","Lubbock County",88,1008,-0.002679,0.003469,0.00464,84758
2019-09-30,"Jersey City","NJ","New York-Newark-Jersey City","Hudson County",89,2149,0.006988,0.025453,0.042683,40434
2019-09-30,"Buffalo","NY","Buffalo-Cheektowaga-Niagara Falls","Erie County",90,967,-0.000846,0.009191,0.014315,76701
2019-09-30,"Mobile","AL","Mobile","Mobile County",91,901,0.005635,0.026199,0.016943,87930
2019-09-30,"Hialeah","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",92,1761,0.000937,0.004443,0.035749,65315
2019-09-30,"San Bernardino","CA","Riverside-San Bernardino-Ontario","San Bernardino County",93,1668,0.005274,0.016875,0.049978,56689
2019-09-30,"Chula Vista","CA","San Diego-Carlsbad","San Diego County",94,2398,0.005014,0.016471,0.039439,65407
2019-09-30,"Saint Petersburg","FL","Tampa-St. Petersburg-Clearwater","Pinellas County",95,1440,0.003145,0.016861,0.041931,115346
