"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-09-30,"89430","NV","Fernley","Lyon County","Smith",25053,1762,0.000466,0.00509,0.054235,480
2019-09-30,"05875","VT",,"Orleans County","Glover",25054,1413,-0.034161,-0.045146,0.074659,42
2019-09-30,"06266","CT","Worcester","Windham County","South Windham",25055,1299,-0.009163,-0.050496,0.016084,197
2019-09-30,"04783","ME",,"Aroostook County","Stockholm",25056,1023,0.007329,0.093843,0.125195,53
2019-09-30,"12120","NY","Albany-Schenectady-Troy","Albany County","Medusa",25057,1199,-0.004714,-0.02033,-0.126492,327
2019-09-30,"08224","NJ","Philadelphia-Camden-Wilmington","Burlington County","Bass River Township",25058,1494,0.001667,-0.011134,-0.023385,79
2019-09-30,"10519","NY","New York-Newark-Jersey City","Westchester County","Town Of North Salem",25059,2404,-0.006501,-0.051088,-0.03224,17
2019-09-30,"12045","NY","Albany-Schenectady-Troy","Albany County","Town of Coeymans",25060,1164,-0.011948,-0.044172,-0.056785,236
2019-09-30,"19490","PA","Philadelphia-Camden-Wilmington","Montgomery County","Worcester Township",25061,1827,0.009997,0.025281,-0.022751,91
2019-09-30,"38236","TN","Paris","Henry County","Mansfield",25062,883,0.00617,0.015167,-0.001046,173
2019-09-30,"28579","NC","Morehead City","Carteret County","Smyrna",25063,1224,0.001741,0.032128,0.09929,349
2019-09-30,"51007","IA","Sioux City","Woodbury County","Bronson",25064,1027,-0.010762,-0.01847,-0.108871,267
2019-09-30,"50029","IA","Des Moines-West Des Moines","Guthrie County","Bayard",25065,760,-0.003267,-0.001275,0.043167,302
2019-09-30,"58521","ND","Bismarck","Burleigh County","Baldwin",25066,1245,-0.010855,-0.080443,-0.024747,254
2019-09-30,"73434","OK",,"Garvin County","Foster",25067,807,0.009908,0.043974,0.022327,147
2019-09-30,"77988","TX","Victoria","Victoria County","Victoria",25068,1138,-0.012438,-0.024277,-0.059805,24
2019-09-30,"97737","OR","Klamath Falls","Klamath County","Gilchrist",25069,996,-0.019311,-0.064302,-0.0379,234
2019-09-30,"87014","NM","Grants","Cibola County","Cubero",25070,858,-0.006579,-0.03934,-0.135995,138
2019-09-30,"05360","VT",,"Windham County","Stratton",25071,2520,0.041534,0.07478,-0.219972,170
2019-09-30,"03812","NH",,"Carroll County","Bartlett",25072,1380,0.006154,0.023622,0.027907,4226
2019-09-30,"17868","PA","Sunbury","Northumberland County","Riverside",25073,735,-0.014027,-0.075639,-0.168655,18
