SizeRank,RegionID,RegionName,RegionType,StateName,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
20,31,Minnesota,State,MN,21685,21319,22895,25014,28208,28917,30817,30053,28814,29840,26451,23107,22361,21415,23409,28221,28825,32850,35797,35044,34723,38576,31348,27224,24335,25454,27805,33253,31431,33520,35238,33719,36518,32540,29384,25900,22664,23726,28928,30099,33426,36393,34152,35610,32649,30557,26416,21032,19465,20483,23773,24960,27787,27165,27510,29220,27441,26325,23553,18180,17777,17994,19942,21253,26182,26485,26953,29218,27020,27211,22145,18039,17400,16450,18051,20502,25470,25561,27826,26336,25930
21,10,Colorado,State,CO,36525,36332,38248,40334,44861,46290,48385,45822,42970,43493,38577,33818,34241,31678,33747,38458,39232,41868,46281,42296,41595,39694,33489,30391,27353,28286,29682,33604,31348,35433,38282,37004,37552,34211,31173,28073,23183,22795,25846,26364,29311,35259,35260,37498,34101,32510,30144,24858,23369,24336,26235,25361,30887,31182,30923,32674,29632,27326,25406,20308,21295,20393,22025,24171,28631,29209,30081,32508,30353,32030,27572,23465,24352,23251,24221,26558,31205,29182,33354,30915,30104
22,4,Alabama,State,AL,32957,32708,33983,35144,37499,37121,37698,36316,34072,32068,31681,29590,30245,29185,30728,33788,33038,33664,35362,35974,35933,36400,34147,33773,32742,33188,35912,38352,35838,37326,39061,37684,37312,34751,33330,32226,31140,31469,34485,34012,35169,36972,35405,36570,35511,34345,34138,31165,31189,32059,33797,33704,35246,33117,33722,34564,32883,32228,30752,27623,29289,28448,29512,30391,31908,30962,30488,31762,29482,30179,27398,25074,26424,25546,25885,26285,28586,27078,28340,26578,26692
23,51,South Carolina,State,SC,45306,45317,47607,49314,53386,50924,51030,49461,48098,49758,47343,44582,45997,45072,47267,50875,49760,50656,52345,49562,49523,50740,47259,45468,43872,45087,43839,47621,40817,43463,46476,44470,45555,42508,41022,39673,37869,38525,41687,40131,40900,43152,40991,42476,39603,38037,38788,35116,36316,37486,40241,38098,39841,37439,37650,38828,35735,35580,36120,32539,34288,33822,34906,35128,36982,35175,34368,35933,32556,35302,32506,30145,32797,31808,33744,34705,37115,33872,35617,34734,33531
24,25,Louisiana,State,LA,17164,16902,17082,17284,18201,17869,18444,18060,17279,18344,17539,16437,16641,16063,16189,17727,17574,17827,18739,17792,17464,18100,16714,16391,16004,15862,16478,18208,17316,18118,19129,18234,18758,17429,16326,15952,15451,15637,17101,16874,17576,18994,18457,19818,18196,18499,18394,16559,16847,19017,20501,19712,23137,22265,22928,23780,23120,22862,23469,21444,22754,22317,23643,24267,25820,25253,25196,25645,24175,25215,23492,21952,23251,22645,23161,23564,25309,24674,25312,24321,23692
25,24,Kentucky,State,KY,26311,25813,27595,28646,30786,30087,31231,29755,29165,29885,27395,25357,25666,23980,25123,27920,27525,28468,30504,29240,29141,29497,26980,25720,24477,23603,24441,27246,25035,26747,27743,27062,27263,25121,23594,22122,20472,20463,22575,22284,22896,24377,23634,25102,23362,22654,22301,19361,19192,19489,20758,19667,21076,20694,20976,22087,21029,20512,20568,17771,18193,17437,17831,18493,20535,20715,20754,22054,20570,21722,19739,17537,18114,16867,17169,17570,19022,18373,19920,18973,18766
26,46,Oregon,State,OR,21517,21099,22297,23814,26257,25991,27717,28210,27138,26737,24111,21616,21303,19972,21350,24957,26428,28340,30037,29024,28436,27822,23829,21777,19994,20120,21317,24702,23838,26404,27323,26721,27038,23979,21145,18902,16688,16587,18521,18652,20484,23401,23250,25423,23356,21351,20091,16410,15374,15401,16946,17184,20030,20141,21698,23919,22051,20645,19365,15468,15961,14847,15996,17654,20783,21137,21949,23955,22190,22687,19235,16543,17069,15527,16527,17518,20739,20736,23099,21446,20800
27,45,Oklahoma,State,OK,23291,22539,23264,24164,25283,25074,26196,25281,23911,24242,22671,20860,22052,20582,21192,23711,22687,23443,25039,24008,23750,23897,22022,21074,20371,20719,21184,23460,21232,22021,23819,23179,24223,22958,22694,21685,21e3,21603,23793,23990,24373,25417,24772,26024,24254,23704,23604,21196,21525,22562,25858,24434,25262,24515,25388,26680,24835,24049,24289,21766,22890,21601,22256,22828,24519,23992,24266,25259,23551,23936,21894,19834,20547,19072,19095,19815,20933,20013,21482,20118,19457
28,11,Connecticut,State,CT,24782,24373,26162,28613,31688,30935,31509,30442,30079,30738,27942,25303,24574,23860,25756,30140,32105,33875,35091,33422,33561,33019,32095,30303,25672,24852,25948,30341,30878,32776,34495,33232,33932,30927,28630,25888,22747,22544,26082,27188,28952,30789,28753,29539,27545,26595,25111,22004,20776,20463,23071,23148,26188,25212,24529,29336,26358,25455,24492,20451,19584,17790,19042,20739,23637,23206,23062,23511,22552,22943,19958,17393,17275,16791,17925,19732,22408,21670,22750,21053,20845
29,19,Iowa,State,IA,17322,17493,18290,19370,20816,20520,21116,20410,19844,20389,18469,16667,16575,15837,16787,19126,18952,19657,20738,19771,19704,20169,18115,16928,16019,16551,17040,18161,14981,16252,16778,16378,17216,16260,15331,14469,13284,13378,14989,15458,15975,17343,16805,17753,16672,16479,16989,14611,14365,15064,16111,15795,16695,15738,15890,16793,16744,16270,15931,13819,14254,13776,15048,15467,16885,16741,16587,17896,17063,17600,15834,14102,14435,13451,13786,15186,16634,16146,17556,16693,16818
30,34,Mississippi,State,MS,14492,14414,15256,15540,16105,16014,16550,15999,15611,16227,15190,14236,14737,13738,13862,14973,14733,15199,15752,15186,15176,15400,14641,14324,14027,14542,14965,15363,11975,12622,13376,13200,13356,14109,13851,13382,12773,12990,14198,14193,14713,15407,14889,16468,15450,15326,15328,14129,14247,14894,15346,14513,15038,14200,14606,15263,14394,13853,14316,13341,13669,13272,13440,14090,15180,14939,14604,15245,14637,14957,13757,12549,13161,13158,13485,13685,14632,14268,14699,13936,13657
31,6,Arkansas,State,AR,21870,21234,22103,23168,24925,24789,25814,24150,22944,24755,23388,22114,22891,22115,22750,24496,23688,23389,24481,23712,23451,24291,22777,22255,21669,23156,22409,24695,17939,18768,21581,21175,22205,20241,19948,19261,18690,19688,21352,21054,21523,23184,22398,23193,21558,21264,20915,19189,19207,19763,20474,19993,21949,19367,19826,20963,19749,18963,19272,17510,18089,17460,17690,18905,20372,19821,19981,20915,19621,20248,18862,17272,17967,17607,17907,18515,18426,17842,18605,17629,18065
32,23,Kansas,State,KS,13897,13530,14211,14939,15985,15635,16128,15247,14797,15408,14016,12891,12896,12230,13004,14875,15204,15516,16489,14991,14955,15298,13841,12894,12113,12570,13001,14976,13367,14013,15152,14728,14718,13730,13124,12357,11403,11587,13254,13260,13989,15335,14625,15626,14483,14037,13891,11889,11806,12387,13695,13911,14922,14249,14408,15090,14126,13857,13681,11833,12140,11654,12351,13e3,14518,14415,14045,14799,13743,13817,12440,11177,11488,10732,11077,11853,12530,11957,12928,12077,11773
33,55,Utah,State,UT,13506,12937,13858,14756,16781,16668,17524,17397,17308,17805,17333,15307,16180,15485,16555,18834,18417,19143,20452,19331,18910,19108,16972,16108,15130,15545,15520,15734,12504,12974,13472,12941,13280,12395,11604,10605,9683,10270,11566,11304,11402,13298,13190,14578,13107,12613,12253,10381,9658,9991,10402,9603,10926,10639,11263,12582,12030,11586,11183,9270,10456,9971,10667,11443,13859,13777,14014,15811,14802,16274,14415,12549,13405,12672,13169,13790,15893,15280,16533,15598,15067
34,42,Nevada,State,NV,15144,13732,13862,14087,15365,14784,15927,16516,16859,18765,17809,16443,16915,16195,17212,18721,17693,18296,19678,18772,19396,20335,18563,17952,17156,18675,17552,19565,17868,18360,20254,19747,21001,19665,19134,18046,16919,17658,19458,18217,18422,21931,21599,25424,23767,22958,22633,19675,19091,19469,21249,20159,21331,19777,19378,20220,18489,18055,17651,14992,15964,15691,16119,15955,13648,13044,13786,15888,15737,17535,16387,15337,17273,16761,17243,17700,19833,18745,20196,18874,18320
35,41,New Mexico,State,NM,13956,13654,14475,14952,16510,16382,17504,17785,16346,17351,15683,14521,14781,14103,14468,16070,16535,16846,17856,17125,16778,16859,15398,14593,13541,13768,13745,15762,14976,15180,16146,15415,15338,14056,14183,14017,12919,13187,14119,14051,14719,15568,15303,16001,15022,14520,14289,12762,12578,12703,13499,13309,14543,14118,14424,15029,14223,13813,13506,11932,12203,11397,11477,11861,12767,12840,12625,13352,12325,12342,11011,9947,9953,9318,9258,9623,10521,10413,11183,10420,10104
36,61,West Virginia,State,WV,8652,8502,8828,9300,10226,10257,10845,10736,9870,10274,9530,8787,8903,8462,8886,10180,10211,10850,11540,11221,11266,11189,10461,9786,9129,9150,9439,11197,10341,11050,11713,11264,12129,11392,10730,10133,9254,9245,10161,10243,10974,11940,12040,12725,12140,11858,11577,10560,10512,10614,11104,10925,11766,11533,11717,12262,11735,11577,11721,10381,10380,10092,10322,10731,11614,11582,11497,11846,11336,11352,10398,9387,9370,8903,9033,9469,10295,10165,10659,10272,10175
37,38,Nebraska,State,NE,6462,6329,6745,6909,7597,7490,9089,8568,8335,8704,8074,7361,7214,6854,7173,8035,7781,7970,8708,8195,8018,8395,7545,7036,6598,6689,6880,7357,6278,7138,7991,7558,7887,7313,7157,6542,6057,6133,6847,6805,7064,7664,7329,7912,7344,7134,6987,5786,5729,5956,6470,6021,6477,6202,6405,6797,6447,6403,6389,5500,5773,5357,5633,6033,6966,6963,7166,7693,7267,7669,6855,5873,6056,5461,5394,5864,6747,6562,7061,6911,6953
38,20,Idaho,State,ID,13217,12515,12962,13995,15434,16008,17057,16878,16351,16643,14984,13879,14025,12836,13665,15626,16112,17188,18331,17377,17799,17111,14978,14388,13119,13459,13998,15637,14517,16148,16901,16107,15988,14250,12906,11851,10780,10997,12320,12454,13746,15067,14970,15857,14414,13329,12351,10405,9432,9542,10506,10057,11486,11543,12142,13004,12075,11250,10514,8805,8720,8148,8391,9238,10452,10563,10546,11222,9983,9961,8415,7208,7199,6584,6839,7829,9048,9150,10228,9580,9295
